ctcf	sequence	type
MACS_peak_10247	ENSG00000285673	other
MACS_peak_10248	ENSG00000271955	other
MACS_peak_10248	ENSG00000222030	other
MACS_peak_10248	ENSG00000233891	other
MACS_peak_10248	ENSG00000285673	other
MACS_peak_10250	ENSG00000271955	other
MACS_peak_10250	ENSG00000233891	other
MACS_peak_10251	ENSG00000271955	other
MACS_peak_10251	ENSG00000233891	other
MACS_peak_10252	ENSG00000271955	other
MACS_peak_10252	ENSG00000233891	other
MACS_peak_10253	ENSG00000271955	other
MACS_peak_10253	ENSG00000233891	other
MACS_peak_10254	ENSG00000271955	other
MACS_peak_10254	ENSG00000233891	other
MACS_peak_10255	ENSG00000271955	other
MACS_peak_10255	ENSG00000233891	other
MACS_peak_10260	ENSG00000267520	other
MACS_peak_10268	ENSG00000226622	other
MACS_peak_10271	ENSG00000226605	other
MACS_peak_10272	ENSG00000226605	other
MACS_peak_10273	ENSG00000226605	other
MACS_peak_10287	ENSG00000225889	other
MACS_peak_10288	ENSG00000260101	other
MACS_peak_10289	ENSG00000226756	other
MACS_peak_10295	ENSG00000204929	other
MACS_peak_10302	ENSG00000226819	other
MACS_peak_10303	ENSG00000232046	other
MACS_peak_10304	ENSG00000232046	other
MACS_peak_10306	ENSG00000232046	other
MACS_peak_10307	ENSG00000232046	other
MACS_peak_10308	ENSG00000232046	other
MACS_peak_10309	ENSG00000230525	other
MACS_peak_10313	ENSG00000237013	other
MACS_peak_10329	ENSG00000237576	other
MACS_peak_10331	ENSG00000283586	other
MACS_peak_10362	ENSG00000163016	other
MACS_peak_10363	ENSG00000163016	other
MACS_peak_10373	ENSG00000237737	other
MACS_peak_10385	ENSG00000231172	other
MACS_peak_10419	ENSG00000237031	other
MACS_peak_10473	ENSG00000228363	other
MACS_peak_10474	ENSG00000233673	other
MACS_peak_10475	ENSG00000233673	other
MACS_peak_10478	ENSG00000231259	other
MACS_peak_10478	ENSG00000285793	other
MACS_peak_10479	ENSG00000204745	other
MACS_peak_10483	ENSG00000222041	other
MACS_peak_10483	ENSG00000284879	other
MACS_peak_10484	ENSG00000222041	other
MACS_peak_10484	ENSG00000284879	other
MACS_peak_10485	ENSG00000222041	other
MACS_peak_10485	ENSG00000284879	other
MACS_peak_10486	ENSG00000234231	other
MACS_peak_10486	ENSG00000284879	other
MACS_peak_10487	ENSG00000284879	other
MACS_peak_10562	ENSG00000143429	other
MACS_peak_10563	ENSG00000143429	other
MACS_peak_10564	ENSG00000143429	other
MACS_peak_10565	ENSG00000230572	other
MACS_peak_10566	ENSG00000230572	other
MACS_peak_10574	ENSG00000214329	other
MACS_peak_10600	ENSG00000229089	other
MACS_peak_10608	ENSG00000248821	other
MACS_peak_10639	ENSG00000232084	other
MACS_peak_10645	ENSG00000272902	other
MACS_peak_10658	ENSG00000229209	other
MACS_peak_10664	ENSG00000256637	other
MACS_peak_10666	ENSG00000225765	other
MACS_peak_10666	ENSG00000227157	other
MACS_peak_10678	ENSG00000232001	other
MACS_peak_10686	ENSG00000232991	other
MACS_peak_10692	ENSG00000225328	other
MACS_peak_10694	ENSG00000237223	other
MACS_peak_10695	ENSG00000237223	other
MACS_peak_10716	ENSG00000283684	other
MACS_peak_10716	ENSG00000186148	other
MACS_peak_10717	ENSG00000204588	other
MACS_peak_10717	ENSG00000225108	other
MACS_peak_10726	ENSG00000175772	other
MACS_peak_10727	ENSG00000184115	other
MACS_peak_10727	ENSG00000273471	other
MACS_peak_10728	ENSG00000184115	other
MACS_peak_10728	ENSG00000273471	other
MACS_peak_10738	ENSG00000172965	other
MACS_peak_10739	ENSG00000285016	other
MACS_peak_10739	ENSG00000172965	other
MACS_peak_10740	ENSG00000285016	other
MACS_peak_10740	ENSG00000172965	other
MACS_peak_10740	ENSG00000280878	other
MACS_peak_10741	ENSG00000285016	other
MACS_peak_10741	ENSG00000280878	other
MACS_peak_10742	ENSG00000285016	other
MACS_peak_10742	ENSG00000280878	other
MACS_peak_10743	ENSG00000285016	other
MACS_peak_10743	ENSG00000280878	other
MACS_peak_10758	ENSG00000243389	other
MACS_peak_10765	ENSG00000189223	other
MACS_peak_10809	ENSG00000238207	other
MACS_peak_10812	ENSG00000125631	other
MACS_peak_10814	ENSG00000235066	other
MACS_peak_10815	ENSG00000226856	other
MACS_peak_10816	ENSG00000226856	other
MACS_peak_10827	ENSG00000224789	other
MACS_peak_10833	ENSG00000234455	other
MACS_peak_10872	ENSG00000229536	other
MACS_peak_10873	ENSG00000229536	other
MACS_peak_10879	ENSG00000231431	other
MACS_peak_10879	ENSG00000284604	other
MACS_peak_10917	ENSG00000224043	other
MACS_peak_10947	ENSG00000226939	other
MACS_peak_10976	ENSG00000258268	other
MACS_peak_10976	ENSG00000257640	other
MACS_peak_10982	ENSG00000226674	other
MACS_peak_11010	ENSG00000231969	other
MACS_peak_11011	ENSG00000231969	other
MACS_peak_11012	ENSG00000162947	other
MACS_peak_11016	ENSG00000232359	other
MACS_peak_11017	ENSG00000222031	other
MACS_peak_11044	ENSG00000227400	other
MACS_peak_11059	ENSG00000226383	other
MACS_peak_11078	ENSG00000227480	other
MACS_peak_11081	ENSG00000234890	other
MACS_peak_11082	ENSG00000228586	other
MACS_peak_11082	ENSG00000204380	other
MACS_peak_11094	ENSG00000285155	other
MACS_peak_11103	ENSG00000235724	other
MACS_peak_11104	ENSG00000235724	other
MACS_peak_11116	ENSG00000237844	other
MACS_peak_11117	ENSG00000237844	other
MACS_peak_11118	ENSG00000237844	other
MACS_peak_11119	ENSG00000237844	other
MACS_peak_11127	ENSG00000236283	other
MACS_peak_11128	ENSG00000236283	other
MACS_peak_11132	ENSG00000236107	other
MACS_peak_11133	ENSG00000236107	other
MACS_peak_11147	ENSG00000228222	other
MACS_peak_11150	ENSG00000235335	other
MACS_peak_11157	ENSG00000227617	other
MACS_peak_11170	ENSG00000231550	other
MACS_peak_11172	ENSG00000231898	other
MACS_peak_11174	ENSG00000213981	other
MACS_peak_11188	ENSG00000232555	other
MACS_peak_11191	ENSG00000228016	other
MACS_peak_11203	ENSG00000224638	other
MACS_peak_11213	ENSG00000236449	other
MACS_peak_11215	ENSG00000229066	other
MACS_peak_11216	ENSG00000229066	other
MACS_peak_11217	ENSG00000229066	other
MACS_peak_11218	ENSG00000229066	other
MACS_peak_11223	ENSG00000237380	other
MACS_peak_11224	ENSG00000230552	other
MACS_peak_11225	ENSG00000230552	other
MACS_peak_11228	ENSG00000236501	other
MACS_peak_11229	ENSG00000236501	other
MACS_peak_11230	ENSG00000229337	other
MACS_peak_11231	ENSG00000213963	other
MACS_peak_11237	ENSG00000236664	other
MACS_peak_11238	ENSG00000236664	other
MACS_peak_11241	ENSG00000237298	other
MACS_peak_11242	ENSG00000237298	other
MACS_peak_11257	ENSG00000281131	other
MACS_peak_11258	ENSG00000281131	other
MACS_peak_11259	ENSG00000281131	other
MACS_peak_11260	ENSG00000234663	other
MACS_peak_11262	ENSG00000234663	other
MACS_peak_11263	ENSG00000234663	other
MACS_peak_11284	ENSG00000234172	other
MACS_peak_11286	ENSG00000234172	other
MACS_peak_11304	ENSG00000226747	other
MACS_peak_11315	ENSG00000224063	other
MACS_peak_11316	ENSG00000224063	other
MACS_peak_11317	ENSG00000224063	other
MACS_peak_11318	ENSG00000224063	other
MACS_peak_11323	ENSG00000223523	other
MACS_peak_11348	ENSG00000233766	other
MACS_peak_11370	ENSG00000225539	other
MACS_peak_11402	ENSG00000236977	other
MACS_peak_11410	ENSG00000222017	other
MACS_peak_11416	ENSG00000236653	other
MACS_peak_11417	ENSG00000225421	other
MACS_peak_11461	ENSG00000279220	other
MACS_peak_11479	ENSG00000227430	other
MACS_peak_11480	ENSG00000231896	other
MACS_peak_11505	ENSG00000279317	other
MACS_peak_11506	ENSG00000234281	other
MACS_peak_11522	ENSG00000273118	other
MACS_peak_11523	ENSG00000273118	other
MACS_peak_11524	ENSG00000273118	other
MACS_peak_11525	ENSG00000273118	other
MACS_peak_11526	ENSG00000273118	other
MACS_peak_11534	ENSG00000197585	other
MACS_peak_11535	ENSG00000197585	other
MACS_peak_11538	ENSG00000229267	other
MACS_peak_11539	ENSG00000227769	other
MACS_peak_11543	ENSG00000225166	other
MACS_peak_11544	ENSG00000237525	other
MACS_peak_11544	ENSG00000234938	other
MACS_peak_11546	ENSG00000235042	other
MACS_peak_11547	ENSG00000236886	other
MACS_peak_11548	ENSG00000236886	other
MACS_peak_11551	ENSG00000233143	other
MACS_peak_11551	ENSG00000231672	other
MACS_peak_11552	ENSG00000231672	other
MACS_peak_11553	ENSG00000231672	other
MACS_peak_11555	ENSG00000231672	other
MACS_peak_11562	ENSG00000236445	other
MACS_peak_11570	ENSG00000239498	other
MACS_peak_11571	ENSG00000236451	other
MACS_peak_11612	ENSG00000232023	other
MACS_peak_11620	ENSG00000238062	other
MACS_peak_11639	ENSG00000235726	other
MACS_peak_11640	ENSG00000235726	other
MACS_peak_11644	ENSG00000233611	other
MACS_peak_11648	ENSG00000227252	other
MACS_peak_11659	ENSG00000227479	other
MACS_peak_11670	ENSG00000220804	other
MACS_peak_13370	ENSG00000114353	promoter
MACS_peak_13838	ENSG00000081154	promoter
MACS_peak_13985	ENSG00000163424	promoter
MACS_peak_14031	ENSG00000160145	promoter
MACS_peak_14288	ENSG00000163646	promoter
MACS_peak_14629	ENSG00000182580	promoter
MACS_peak_14682	ENSG00000113946	promoter
MACS_peak_12965	ENSG00000134121	gene
MACS_peak_12966	ENSG00000134121	gene
MACS_peak_12978	ENSG00000134115	gene
MACS_peak_12979	ENSG00000134115	gene
MACS_peak_12980	ENSG00000134115	gene
MACS_peak_12987	ENSG00000144619	gene
MACS_peak_12988	ENSG00000144619	gene
MACS_peak_12989	ENSG00000144619	gene
MACS_peak_12990	ENSG00000144619	gene
MACS_peak_12992	ENSG00000072756	gene
MACS_peak_12996	ENSG00000144455	gene
MACS_peak_12997	ENSG00000144455	gene
MACS_peak_12998	ENSG00000144455	gene
MACS_peak_12999	ENSG00000144455	gene
MACS_peak_13000	ENSG00000144455	gene
MACS_peak_13001	ENSG00000144455	gene
MACS_peak_13002	ENSG00000144455	gene
MACS_peak_13003	ENSG00000144455	gene
MACS_peak_13004	ENSG00000144455	gene
MACS_peak_13005	ENSG00000144455	gene
MACS_peak_13006	ENSG00000144455	gene
MACS_peak_13007	ENSG00000144455	gene
MACS_peak_13007	ENSG00000170364	gene
MACS_peak_13008	ENSG00000144455	gene
MACS_peak_13009	ENSG00000144455	gene
MACS_peak_13010	ENSG00000150995	gene
MACS_peak_13011	ENSG00000150995	gene
MACS_peak_13012	ENSG00000150995	gene
MACS_peak_13015	ENSG00000134107	gene
MACS_peak_13016	ENSG00000134108	gene
MACS_peak_13029	ENSG00000196277	gene
MACS_peak_13030	ENSG00000196277	gene
MACS_peak_13031	ENSG00000196277	gene
MACS_peak_13032	ENSG00000196277	gene
MACS_peak_13038	ENSG00000071282	gene
MACS_peak_13040	ENSG00000125046	gene
MACS_peak_13041	ENSG00000125046	gene
MACS_peak_13043	ENSG00000182533	gene
MACS_peak_13045	ENSG00000196220	gene
MACS_peak_13046	ENSG00000196220	gene
MACS_peak_13047	ENSG00000168137	gene
MACS_peak_13048	ENSG00000156959	gene
MACS_peak_13049	ENSG00000250151	gene
MACS_peak_13049	ENSG00000214021	gene
MACS_peak_13050	ENSG00000134070	gene
MACS_peak_13052	ENSG00000157087	gene
MACS_peak_13056	ENSG00000196639	gene
MACS_peak_13057	ENSG00000196639	gene
MACS_peak_13058	ENSG00000196639	gene
MACS_peak_13059	ENSG00000197548	gene
MACS_peak_13060	ENSG00000197548	gene
MACS_peak_13061	ENSG00000144560	gene
MACS_peak_13063	ENSG00000144560	gene
MACS_peak_13064	ENSG00000144560	gene
MACS_peak_13066	ENSG00000157152	gene
MACS_peak_13067	ENSG00000157152	gene
MACS_peak_13068	ENSG00000157152	gene
MACS_peak_13069	ENSG00000157152	gene
MACS_peak_13070	ENSG00000157152	gene
MACS_peak_13074	ENSG00000144712	gene
MACS_peak_13075	ENSG00000144712	gene
MACS_peak_13076	ENSG00000144711	gene
MACS_peak_13077	ENSG00000144711	gene
MACS_peak_13079	ENSG00000163517	gene
MACS_peak_13089	ENSG00000131389	gene
MACS_peak_13090	ENSG00000144596	gene
MACS_peak_13092	ENSG00000131379	gene
MACS_peak_13093	ENSG00000154783	gene
MACS_peak_13094	ENSG00000154783	gene
MACS_peak_13095	ENSG00000131368	gene
MACS_peak_13099	ENSG00000131375	gene
MACS_peak_13100	ENSG00000131370	gene
MACS_peak_13101	ENSG00000131370	gene
MACS_peak_13102	ENSG00000206562	gene
MACS_peak_13103	ENSG00000206562	gene
MACS_peak_13104	ENSG00000206560	gene
MACS_peak_13105	ENSG00000206560	gene
MACS_peak_13106	ENSG00000206560	gene
MACS_peak_13111	ENSG00000131386	gene
MACS_peak_13112	ENSG00000154814	gene
MACS_peak_13117	ENSG00000092345	gene
MACS_peak_13120	ENSG00000154822	gene
MACS_peak_13121	ENSG00000154822	gene
MACS_peak_13123	ENSG00000131374	gene
MACS_peak_13124	ENSG00000131374	gene
MACS_peak_13125	ENSG00000131374	gene
MACS_peak_13126	ENSG00000131374	gene
MACS_peak_13127	ENSG00000131374	gene
MACS_peak_13128	ENSG00000131374	gene
MACS_peak_13130	ENSG00000131374	gene
MACS_peak_13131	ENSG00000131374	gene
MACS_peak_13132	ENSG00000131374	gene
MACS_peak_13133	ENSG00000131374	gene
MACS_peak_13134	ENSG00000131374	gene
MACS_peak_13135	ENSG00000131374	gene
MACS_peak_13136	ENSG00000131374	gene
MACS_peak_13138	ENSG00000131374	gene
MACS_peak_13138	ENSG00000182568	gene
MACS_peak_13139	ENSG00000131374	gene
MACS_peak_13139	ENSG00000182568	gene
MACS_peak_13150	ENSG00000183960	gene
MACS_peak_13151	ENSG00000183960	gene
MACS_peak_13152	ENSG00000183960	gene
MACS_peak_13153	ENSG00000183960	gene
MACS_peak_13165	ENSG00000114166	gene
MACS_peak_13176	ENSG00000151789	gene
MACS_peak_13177	ENSG00000151789	gene
MACS_peak_13178	ENSG00000151789	gene
MACS_peak_13179	ENSG00000151789	gene
MACS_peak_13180	ENSG00000151789	gene
MACS_peak_13181	ENSG00000151789	gene
MACS_peak_13183	ENSG00000151789	gene
MACS_peak_13184	ENSG00000151789	gene
MACS_peak_13185	ENSG00000151789	gene
MACS_peak_13186	ENSG00000151789	gene
MACS_peak_13187	ENSG00000151789	gene
MACS_peak_13188	ENSG00000151789	gene
MACS_peak_13197	ENSG00000182247	gene
MACS_peak_13198	ENSG00000182247	gene
MACS_peak_13201	ENSG00000170142	gene
MACS_peak_13204	ENSG00000151090	gene
MACS_peak_13205	ENSG00000151090	gene
MACS_peak_13206	ENSG00000151090	gene
MACS_peak_13207	ENSG00000151090	gene
MACS_peak_13208	ENSG00000151090	gene
MACS_peak_13212	ENSG00000077092	gene
MACS_peak_13213	ENSG00000077097	gene
MACS_peak_13214	ENSG00000151092	gene
MACS_peak_13227	ENSG00000163491	gene
MACS_peak_13228	ENSG00000163491	gene
MACS_peak_13229	ENSG00000163491	gene
MACS_peak_13230	ENSG00000033867	gene
MACS_peak_13231	ENSG00000033867	gene
MACS_peak_13239	ENSG00000187118	gene
MACS_peak_13239	ENSG00000163512	gene
MACS_peak_13240	ENSG00000163512	gene
MACS_peak_13241	ENSG00000206559	gene
MACS_peak_13241	ENSG00000283563	gene
MACS_peak_13242	ENSG00000206559	gene
MACS_peak_13242	ENSG00000283563	gene
MACS_peak_13243	ENSG00000206559	gene
MACS_peak_13243	ENSG00000283563	gene
MACS_peak_13244	ENSG00000283563	gene
MACS_peak_13244	ENSG00000144642	gene
MACS_peak_13245	ENSG00000283563	gene
MACS_peak_13245	ENSG00000144642	gene
MACS_peak_13246	ENSG00000283563	gene
MACS_peak_13246	ENSG00000144642	gene
MACS_peak_13247	ENSG00000283563	gene
MACS_peak_13247	ENSG00000144642	gene
MACS_peak_13248	ENSG00000283563	gene
MACS_peak_13248	ENSG00000144642	gene
MACS_peak_13249	ENSG00000283563	gene
MACS_peak_13249	ENSG00000144642	gene
MACS_peak_13250	ENSG00000144642	gene
MACS_peak_13258	ENSG00000144644	gene
MACS_peak_13261	ENSG00000144645	gene
MACS_peak_13265	ENSG00000170293	gene
MACS_peak_13267	ENSG00000144635	gene
MACS_peak_13269	ENSG00000182973	gene
MACS_peak_13270	ENSG00000153558	gene
MACS_peak_13271	ENSG00000153558	gene
MACS_peak_13273	ENSG00000163539	gene
MACS_peak_13276	ENSG00000170248	gene
MACS_peak_13298	ENSG00000144681	gene
MACS_peak_13300	ENSG00000163673	gene
MACS_peak_13302	ENSG00000144668	gene
MACS_peak_13304	ENSG00000144677	gene
MACS_peak_13306	ENSG00000093217	gene
MACS_peak_13308	ENSG00000168356	gene
MACS_peak_13309	ENSG00000168356	gene
MACS_peak_13318	ENSG00000170011	gene
MACS_peak_13319	ENSG00000170011	gene
MACS_peak_13320	ENSG00000170011	gene
MACS_peak_13321	ENSG00000170011	gene
MACS_peak_13322	ENSG00000170011	gene
MACS_peak_13331	ENSG00000168036	gene
MACS_peak_13332	ENSG00000168038	gene
MACS_peak_13333	ENSG00000168038	gene
MACS_peak_13334	ENSG00000168038	gene
MACS_peak_13335	ENSG00000168038	gene
MACS_peak_13336	ENSG00000168038	gene
MACS_peak_13337	ENSG00000168038	gene
MACS_peak_13338	ENSG00000168038	gene
MACS_peak_13339	ENSG00000280571	gene
MACS_peak_13339	ENSG00000181061	gene
MACS_peak_13340	ENSG00000144648	gene
MACS_peak_13340	ENSG00000273291	gene
MACS_peak_13340	ENSG00000240747	gene
MACS_peak_13342	ENSG00000273291	gene
MACS_peak_13342	ENSG00000240747	gene
MACS_peak_13344	ENSG00000160746	gene
MACS_peak_13345	ENSG00000160746	gene
MACS_peak_13346	ENSG00000160746	gene
MACS_peak_13347	ENSG00000160746	gene
MACS_peak_13348	ENSG00000011198	gene
MACS_peak_13349	ENSG00000173769	gene
MACS_peak_13352	ENSG00000211456	gene
MACS_peak_13353	ENSG00000163820	gene
MACS_peak_13355	ENSG00000160791	gene
MACS_peak_13356	ENSG00000206549	gene
MACS_peak_13356	ENSG00000284672	gene
MACS_peak_13357	ENSG00000160808	gene
MACS_peak_13358	ENSG00000160799	gene
MACS_peak_13359	ENSG00000114650	gene
MACS_peak_13360	ENSG00000114650	gene
MACS_peak_13361	ENSG00000047849	gene
MACS_peak_13363	ENSG00000164051	gene
MACS_peak_13364	ENSG00000177479	gene
MACS_peak_13365	ENSG00000178252	gene
MACS_peak_13368	ENSG00000183763	gene
MACS_peak_13369	ENSG00000188338	gene
MACS_peak_13371	ENSG00000114353	gene
MACS_peak_13372	ENSG00000114738	gene
MACS_peak_13373	ENSG00000088538	gene
MACS_peak_13374	ENSG00000088538	gene
MACS_peak_13375	ENSG00000088538	gene
MACS_peak_13376	ENSG00000088538	gene
MACS_peak_13377	ENSG00000088538	gene
MACS_peak_13378	ENSG00000088538	gene
MACS_peak_13380	ENSG00000088538	gene
MACS_peak_13381	ENSG00000088538	gene
MACS_peak_13382	ENSG00000088538	gene
MACS_peak_13384	ENSG00000248592	gene
MACS_peak_13384	ENSG00000213533	gene
MACS_peak_13385	ENSG00000157388	gene
MACS_peak_13388	ENSG00000157445	gene
MACS_peak_13389	ENSG00000157445	gene
MACS_peak_13390	ENSG00000157445	gene
MACS_peak_13391	ENSG00000157445	gene
MACS_peak_13392	ENSG00000157445	gene
MACS_peak_13393	ENSG00000157445	gene
MACS_peak_13394	ENSG00000157445	gene
MACS_peak_13395	ENSG00000157445	gene
MACS_peak_13397	ENSG00000157445	gene
MACS_peak_13401	ENSG00000187672	gene
MACS_peak_13402	ENSG00000180376	gene
MACS_peak_13404	ENSG00000163947	gene
MACS_peak_13406	ENSG00000144730	gene
MACS_peak_13407	ENSG00000144730	gene
MACS_peak_13408	ENSG00000174844	gene
MACS_peak_13409	ENSG00000174844	gene
MACS_peak_13410	ENSG00000174844	gene
MACS_peak_13412	ENSG00000163681	gene
MACS_peak_13413	ENSG00000163681	gene
MACS_peak_13414	ENSG00000168306	gene
MACS_peak_13415	ENSG00000168309	gene
MACS_peak_13416	ENSG00000163689	gene
MACS_peak_13417	ENSG00000163689	gene
MACS_peak_13419	ENSG00000163689	gene
MACS_peak_13420	ENSG00000163689	gene
MACS_peak_13421	ENSG00000163689	gene
MACS_peak_13422	ENSG00000163689	gene
MACS_peak_13429	ENSG00000189283	gene
MACS_peak_13430	ENSG00000144724	gene
MACS_peak_13431	ENSG00000144724	gene
MACS_peak_13434	ENSG00000144724	gene
MACS_peak_13437	ENSG00000144724	gene
MACS_peak_13438	ENSG00000144724	gene
MACS_peak_13440	ENSG00000144724	gene
MACS_peak_13441	ENSG00000144724	gene
MACS_peak_13442	ENSG00000144724	gene
MACS_peak_13443	ENSG00000144724	gene
MACS_peak_13445	ENSG00000144724	gene
MACS_peak_13446	ENSG00000114405	gene
MACS_peak_13451	ENSG00000163618	gene
MACS_peak_13452	ENSG00000163618	gene
MACS_peak_13453	ENSG00000163618	gene
MACS_peak_13462	ENSG00000163630	gene
MACS_peak_13464	ENSG00000163630	gene
MACS_peak_13465	ENSG00000163630	gene
MACS_peak_13466	ENSG00000163630	gene
MACS_peak_13467	ENSG00000163630	gene
MACS_peak_13468	ENSG00000163630	gene
MACS_peak_13469	ENSG00000163630	gene
MACS_peak_13470	ENSG00000163630	gene
MACS_peak_13471	ENSG00000163630	gene
MACS_peak_13472	ENSG00000163630	gene
MACS_peak_13473	ENSG00000163630	gene
MACS_peak_13474	ENSG00000163630	gene
MACS_peak_13476	ENSG00000188817	gene
MACS_peak_13482	ENSG00000163632	gene
MACS_peak_13483	ENSG00000163632	gene
MACS_peak_13483	ENSG00000163634	gene
MACS_peak_13484	ENSG00000163634	gene
MACS_peak_13485	ENSG00000285258	gene
MACS_peak_13486	ENSG00000285258	gene
MACS_peak_13486	ENSG00000163635	gene
MACS_peak_13487	ENSG00000285258	gene
MACS_peak_13487	ENSG00000163635	gene
MACS_peak_13489	ENSG00000163636	gene
MACS_peak_13490	ENSG00000163636	gene
MACS_peak_13491	ENSG00000163636	gene
MACS_peak_13499	ENSG00000163637	gene
MACS_peak_13500	ENSG00000163637	gene
MACS_peak_13501	ENSG00000163637	gene
MACS_peak_13502	ENSG00000163637	gene
MACS_peak_13503	ENSG00000163637	gene
MACS_peak_13504	ENSG00000163637	gene
MACS_peak_13505	ENSG00000163637	gene
MACS_peak_13506	ENSG00000163637	gene
MACS_peak_13507	ENSG00000163637	gene
MACS_peak_13508	ENSG00000163637	gene
MACS_peak_13509	ENSG00000163637	gene
MACS_peak_13511	ENSG00000163637	gene
MACS_peak_13512	ENSG00000163637	gene
MACS_peak_13513	ENSG00000163637	gene
MACS_peak_13514	ENSG00000163637	gene
MACS_peak_13515	ENSG00000163637	gene
MACS_peak_13516	ENSG00000163637	gene
MACS_peak_13517	ENSG00000163637	gene
MACS_peak_13522	ENSG00000163638	gene
MACS_peak_13523	ENSG00000163638	gene
MACS_peak_13524	ENSG00000163638	gene
MACS_peak_13525	ENSG00000163638	gene
MACS_peak_13527	ENSG00000163638	gene
MACS_peak_13528	ENSG00000163638	gene
MACS_peak_13529	ENSG00000163638	gene
MACS_peak_13530	ENSG00000163638	gene
MACS_peak_13531	ENSG00000163638	gene
MACS_peak_13532	ENSG00000163638	gene
MACS_peak_13548	ENSG00000151276	gene
MACS_peak_13550	ENSG00000151276	gene
MACS_peak_13551	ENSG00000151276	gene
MACS_peak_13552	ENSG00000151276	gene
MACS_peak_13553	ENSG00000144741	gene
MACS_peak_13554	ENSG00000144741	gene
MACS_peak_13561	ENSG00000172340	gene
MACS_peak_13562	ENSG00000183662	gene
MACS_peak_13563	ENSG00000183662	gene
MACS_peak_13564	ENSG00000163377	gene
MACS_peak_13565	ENSG00000163377	gene
MACS_peak_13566	ENSG00000163377	gene
MACS_peak_13568	ENSG00000144744	gene
MACS_peak_13570	ENSG00000114541	gene
MACS_peak_13571	ENSG00000114541	gene
MACS_peak_13572	ENSG00000114541	gene
MACS_peak_13574	ENSG00000187098	gene
MACS_peak_13575	ENSG00000187098	gene
MACS_peak_13576	ENSG00000187098	gene
MACS_peak_13577	ENSG00000187098	gene
MACS_peak_13583	ENSG00000242120	gene
MACS_peak_13586	ENSG00000114861	gene
MACS_peak_13586	ENSG00000285708	gene
MACS_peak_13591	ENSG00000172986	gene
MACS_peak_13594	ENSG00000121440	gene
MACS_peak_13595	ENSG00000121440	gene
MACS_peak_13609	ENSG00000227124	gene
MACS_peak_13611	ENSG00000185008	gene
MACS_peak_13612	ENSG00000185008	gene
MACS_peak_13613	ENSG00000185008	gene
MACS_peak_13615	ENSG00000185008	gene
MACS_peak_13616	ENSG00000185008	gene
MACS_peak_13617	ENSG00000185008	gene
MACS_peak_13618	ENSG00000185008	gene
MACS_peak_13619	ENSG00000185008	gene
MACS_peak_13620	ENSG00000185008	gene
MACS_peak_13621	ENSG00000185008	gene
MACS_peak_13622	ENSG00000185008	gene
MACS_peak_13623	ENSG00000185008	gene
MACS_peak_13624	ENSG00000185008	gene
MACS_peak_13626	ENSG00000185008	gene
MACS_peak_13627	ENSG00000185008	gene
MACS_peak_13639	ENSG00000169855	gene
MACS_peak_13640	ENSG00000169855	gene
MACS_peak_13641	ENSG00000169855	gene
MACS_peak_13642	ENSG00000169855	gene
MACS_peak_13643	ENSG00000169855	gene
MACS_peak_13644	ENSG00000169855	gene
MACS_peak_13645	ENSG00000169855	gene
MACS_peak_13646	ENSG00000169855	gene
MACS_peak_13647	ENSG00000169855	gene
MACS_peak_13648	ENSG00000169855	gene
MACS_peak_13649	ENSG00000169855	gene
MACS_peak_13650	ENSG00000169855	gene
MACS_peak_13651	ENSG00000169855	gene
MACS_peak_13670	ENSG00000114480	gene
MACS_peak_13671	ENSG00000114480	gene
MACS_peak_13672	ENSG00000114480	gene
MACS_peak_13673	ENSG00000114480	gene
MACS_peak_13674	ENSG00000114480	gene
MACS_peak_13703	ENSG00000175161	gene
MACS_peak_13704	ENSG00000175161	gene
MACS_peak_13706	ENSG00000175161	gene
MACS_peak_13707	ENSG00000175161	gene
MACS_peak_13737	ENSG00000044524	gene
MACS_peak_13739	ENSG00000044524	gene
MACS_peak_13777	ENSG00000169379	gene
MACS_peak_13778	ENSG00000178694	gene
MACS_peak_13779	ENSG00000178694	gene
MACS_peak_13798	ENSG00000080224	gene
MACS_peak_13799	ENSG00000080224	gene
MACS_peak_13800	ENSG00000080224	gene
MACS_peak_13801	ENSG00000080224	gene
MACS_peak_13802	ENSG00000080224	gene
MACS_peak_13803	ENSG00000080224	gene
MACS_peak_13804	ENSG00000080224	gene
MACS_peak_13805	ENSG00000080224	gene
MACS_peak_13806	ENSG00000080224	gene
MACS_peak_13807	ENSG00000080224	gene
MACS_peak_13812	ENSG00000064225	gene
MACS_peak_13813	ENSG00000064225	gene
MACS_peak_13813	ENSG00000057019	gene
MACS_peak_13814	ENSG00000064225	gene
MACS_peak_13814	ENSG00000057019	gene
MACS_peak_13823	ENSG00000144810	gene
MACS_peak_13824	ENSG00000144810	gene
MACS_peak_13825	ENSG00000144810	gene
MACS_peak_13826	ENSG00000184220	gene
MACS_peak_13826	ENSG00000168386	gene
MACS_peak_13827	ENSG00000184220	gene
MACS_peak_13827	ENSG00000168386	gene
MACS_peak_13828	ENSG00000184220	gene
MACS_peak_13828	ENSG00000168386	gene
MACS_peak_13830	ENSG00000036054	gene
MACS_peak_13832	ENSG00000181458	gene
MACS_peak_13833	ENSG00000181458	gene
MACS_peak_13834	ENSG00000144820	gene
MACS_peak_13836	ENSG00000081148	gene
MACS_peak_13839	ENSG00000081154	gene
MACS_peak_13846	ENSG00000170044	gene
