cytoband	11q23.3	1p36.12	19p13.3	13q14.11	8p23.2	6q21	3p21.31	17p12	10q23.31	14q24.3	16q23.3	9q22.33	12q24.33	12p13.1	11p15.5	17q25.3	1p21.3	4q35.1	10q26.13	7p22.2	11q13.1	16q11.2	7q36.1	17q12	2q37.1	6q27	15q22.2	22q13.31	5q21.1	9p21.3	2q14.3	8q24.3	12q23.3	22q11.22	21q22.3	
		ASAP3		FAM124A			WNT5A			COQ6	RNF166			AKAP3	DEAF1		ZRANB2	SPRY1	VTI1A		SNORD25		PRSS1	RARA	COPS8	HGC6.3	GCNT3	TBC1D22A	SMAD5-AS1	TMEM8B	ACTR1B	ASAP1-IT1	UNG	RAB36	CRYZL1	
		PNRC2		TPTE2P3			ZNF35			FCF1	C16orf46			RAD51AP1	IPO7		ARHGAP29	ANAPC10	C10orf82		SNORD22		PRSS2	RNU2-1	CAPN10	LOC100129518	COPS2	CBY1	SNCAIP	EQTN	TXNDC9	CPSF1	ZNF10	PPM1F	DOPEY2	
		NBPF1		LRRC63			IFRD2			RDH11	DNAAF1			KLRA1P	IFITM2		CLCA3P	PGRMC2	CACUL1		SLC22A6		RELN	RPL19	SP140	C6orf99	TRIP4	SUN2	TTC37	APTX	STAM2	CYHR1	ZNF26	DEPDC5	KCNE2	
		NECAP2		CTAGE10P			MAPKAPK3			COX16	SPATA2L			TSPAN9	TRIM3		CLCA2	MAB21L2	EMX2OS		SLC22A8		PSMC2	RPL27	PASK	LOC100131532	TGM5	TTLL1	MATR3	FOCAD	MERTK	ASAP1	ZNF84	SFI1	RWDD2B	
		RCC2		SLC25A30			SEMA3B			ATP6V1D	SPATA33			STRAP	OR7E12P		HS2ST1	PLK4	PLPP4		NRXN2		TAS2R38	CCL1	ATG4B	AIRN	PIGB	SAMM50	PJA2	UBE2R2	MAP3K2	FAM135B	ZNF140	DGCR2	OLIG2	
		PITHD1		SUGT1P3			SLMAP			ZFYVE1	ZC3H18			PRR4	LYVE1		DNAJC6	ADAM29	FAM24B		LPXN		PTN	CCL2	OBSL1	LOC100289495	IGDCC3	ATXN10	DDX46	SMU1	ARID5A	PHF20L1	ALX1	HMGXB4	DSCR4	
		NIPAL3		SIAH3			MANF			CPSF2	CDYL2			PHB2	KCNQ1OT1		PLPPR4	PRDM5	CASC2		FADS2		PTPRN2	CCL3	DNPEP	MIR1913	PPIP5K1	FAM19A5	SLC23A1	UBAP2	EDAR	VPS28	CDK2AP1	TOM1	DSCR3	
		KIF17		KCNRG			ACOX2			KCNK10	SLC38A8			KLRK1	PKP3		INSL5	LSM6	HSPA12A		RIN1		PTPRZ1	CCL3L1	SH3BP4	MIR1202	AQR	TMEM184B	SRA1	KLHL9	IMMT	HGH1	BRAP	SF3A1	B3GALT5	
		GRHL3		LINC00282			BAP1			NRDE2	SLC22A31			GABARAPL1	SWAP70		PIGK	NUDT6	RBM20		NAALADL1		RARRES2	CCL4	KCNE4	MIR3918	SECISBP2L	SULT4A1	RAD50	OR2S2	TBC1D8	KCNK9	ULK1	CACNG2	USP16	
		IL22RA1		FREM2			HYAL3			EXD2	FLJ30679			IFFO1	DENND5A		PATJ	ANXA10	PDCD4-AS1		KCNK7		RHEB	CCL5	NGEF	MIR3939	KIAA0101	RIBC2	KIF20A	IFNK	RABL2A	THEM6	EEA1	TXNRD2	CCT8	
		CELA2A		NEK5			CADPS			VRTN	LOC146513			NECAP1	RRP8		VAV3	KLHL2	LOC283038		RASGRP2		RNY1	CCL7	SNORD82	MIR3692	ARHGAP11A	ARFGAP3	APBB3	KIAA1161	NXPH2	FAM49B	RASAL1	RASL10A	WDR4	
		PLA2G2F		KCTD4			HYAL2			SYNJ2BP	ZFPM1			CLEC4E	SIRT3		IFI44	SCRG1	WDR11-AS1		GLYAT		RNY3	CCL8	PNKD	KIF25-AS1	LCMT2	SNORD43	SEC24A	GBA2	GPR45	CHRAC1	PPFIA2	GAS2L1	FTCD	
		PINK1		NHLRC3			SUCLG2			SLC39A9	ADAD2			GALNT8	OR52A1		AHCYL1	HSPA4L	KCNK18		RTN3		RNY4	CCL11	SNED1	CAHM	USP3	SMC1B	BRD8	DMRTA1	MGAT4A	EXOSC4	MAPKAPK5	RFPL3S	BTG3	
		EFHD2		SERP2			HESX1			FLVCR2	SNAI3-AS1			GPR162	ARFIP2		IFI44L	PALLD	VWA2		PRG3		RNY5	CCL13	GIGYF2	MIR4466	SLC12A6	CSDC2	HNRNPA0	POLR1E	RAB3GAP1	LY6K	DENR	RFPL3	HSF2BP	
		RSG1		LINC00548			BSN			GPATCH2L	LINC00311			CLEC2D	OR5E1P		DNAJB4	TBC1D9	NANOS1		CDC42EP2		SHH	CCL14	TRAF3IP1	MIR4644	BCL2L10	RRP7A	KIF3A	LRRC19	RPIA	TRMT12	OASL	RFPL2	ADAMTS5	
		MUL1		TUSC8			LIMD1			PPP4R3A	ZNF778			COPS7A	OR10A3		GLMN	KIAA0922	HMX3		NXF1		SLC4A2	CCL15	CNPPD1	RPS6KA2-AS1	PDCD7	MCAT	RHOBTB3	NOL6	SNRNP200	WDYHV1	DYNLL1	RFPL1S	RRP1B	
		AGMAT		MIR15A			CCRL2			TDP1	ACSF3			TAS2R9	TIMM10B		HHLA3	TRIM2	NHLRC2		KAT5		SLC13A1	CCL16	STK36	SYNJ2-IT1	RASGRP1	APOBEC3C	ELL2	DCAF10	UBXN4	SLC39A4	SRSF9	IFT27	DIP2A	
		ZNF436		MIR16-1			UBA3			SPATA7	LINC00304			TAS2R8	DKK3		CLCA4	ANP32C	CCDC172		SSSCA1		SMARCD3	CCL18	GMPPA	RPS6KA2-IT1	SERF2	DESI1	FSTL4	MOB3B	CLASP1	SYBU	GALNT4	CHEK2	POFUT2	
		TAS1R2		ALG11			RPL14			YLPM1	NUDT7			TAS2R7	RBMXL2		MTF2	SLC7A11	DMBT1P1		DRAP1		SMO	CCL23	ANO7	EZR-AS1	DENND4A	SGSM3	SEPT8	CAAP1	NCAPH	GSDMC	CRADD	USP18	ICOSLG	
		ACTL8		TSC22D1-AS1			SEC22C			KCNK13	SNAI3			TAS2R13	PGAP2		NTNG1	NOCT	ENO4		TAF6L		SPAM1	SH3GL1P1	PRLH	LOC101929122	GNB5	PARVB	PPIP5K2	CNTNAP3	TMEM131	ENY2	HRK	MORC2	MORC3	
		USP48		LINC00598			RRP9			CCDC177	LOC339059			TAS2R10	C11orf21		WDR47	FAM149A	ARMS2		SCGB1D2		AKR1D1	SH3GL1P2	THAP4	PACRG-AS2	ARPP19	NCAPH2	ACSL6	IFT74	R3HDM1	SLURP1	ADAM1A	HIC2	CLDN14	
		NBPF3		LINC00371			MAGI1			ADCK1	FAM92B			TAS2R14	TRPM5		USP33	FBXO8	TEX36		SCGB1D1		SRPK2	SLC4A1	ANKMY1	LOC101929297	CLPX	EIF3L	JADE2	FAM214B	PSD4	SLC45A4	LIN7A	TTC28	BACE2	
		DDI2		SERPINE3			CACNA2D2			TMEM63C	CTU2			CLEC4A	UBQLN3		CLCC1	INTU	GUCY2GP		OR5I1		SSBP1	SMARCE1	SCLY	LOC101929420	SLC27A2	GTSE1	HARS2	ZCCHC7	POLR1A	ZFAT	SOCS2	SPECC1L	C2CD2	
		CROCCP2		SNORA31			SLC22A14			GALNT16	PABPN1L			HEBP1	RNF141		SLC35D1	ARFIP1	NKX1-2		YIF1A		SYPL1	SP2	ASB1	LOC101929460	GPR176	A4GALT	TNFAIP8	ANKRD20A1	UNC50	ZNF250	HCAR3	PES1	LTN1	
		IGSF21		MIR621			SLC22A13			PLEKHH1	LOC400548			DERA	IGF2-AS		ADGRL2	PDLIM3	C10orf120		EHD1		TAC1	STAT3	CAB39	LINC01615	CHP1	MOV10L1	LRRTM2	HINT2	EPC2	DEPTOR	HIP1R	CABIN1	CLDN17	
		STPG1		LINC00462			DCAF1			ZNF410	FENDRR			ING4	BET1L		KIAA1107	ZNF330	LOC399815		STIP1		TAF6	STAT5A	PRKAG3	LOC101929504	OIP5	MIEF1	FBXL21	C9orf24	ARL5A	PYCRL	RASSF9	PRAME	N6AMT1	
		CROCCP3		TPT1-AS1			IP6K1			NGB	LOC400553			DDX47	CEND1		ITGB3BP	SPOCK3	METTL10		CLP1		TBXAS1	STAT5B	UGT1A10	LOC101929523	BAHD1	FAM118A	KLHL3	PIGO	PTPN18	C8orf33	PIWIL1	SEC14L2	USP25	
		FHAD1		MIR759			PSMD6			RBM25	LOC400558			MRPL51	CYB5R2		SLC35A3	AADAT	FLJ37035		SF3B2		TFR2	TADA2A	UGT1A8	MIR7161	FAN1	TTC38	SNORD63	ARHGEF39	CNNM4	LYNX1	CABP1	RBFOX2	DNMT3L	
		IFFO2		MIR320D1			DLEC1			VIPAS39	C16orf74			CLEC1B	TRIM34		LRRC8B	FAM198B	LINC01561		CCDC85B		TRIP6	HNF1B	UGT1A7	MIR7641-2	CEP152	PRR34	SNORA74A	SLC25A51	CNNM3	RHPN1-AS1	NCOR2	SEZ6L	DONSON	
		MYOM3		MIR3168			EXOG			SMOC1	LOC440390			CLEC1A	CDHR5		LPAR3	MYOZ2	FAM45A		PLA2G16		UBE2H	MLX	UGT1A6	LOC102724053	MAPKBP1	MIOX	PKD2L2	LINC00950	IL36RN	DSCC1	WSCD2	RASD2	HUNK	
		KLHDC7A		MIR4305			XYLB			MOAP1	SNORD68			C1RL	TOLLIP		DDAH1	ASIC5	SNORA19		PTGDR2		VGF	THRA	UGT1A5	LOC102724152	GOLGA8A	PRR5	UQCRQ	TAF1L	IL36B	DERL1	SART3	PATZ1	ZBTB21	
		VWA5B1		MIR3613			OXSR1			IRF2BPL	LINC00917			KLRF1	USP47		RWDD3	GALNT7	RPL13AP6		ZP1		VIPR2	TOP2A	UGT1A9	LOC102724357	ZNF609	TRMU	AFF4	ARID3C	IL37	SLC52A2	KNTC1	TSSK2	PIGP	
		UBXN10		OR7E37P			PARP3			MPP5	VPS9D1-AS1			WBP11	TRIM68		ZZZ3	CLDN22	ATE1-AS1		ATG2A		ZAN	DNAJC7	UGT1A4	LOC102724511	RTF1	SEPT3	SLC27A6	RPP25L	IL36A	GSDMD	MLEC	SDF2L1	UBASH3A	
		ARHGEF19		VWA8-AS1			ZNF197			ZC2HC1C	LOC100129617			MANSC1	PIDD1		SERBP1	PCDH18	TEX36-AS1		GANAB		WNT2	TUBG1	UGT1A1	LOC105378098	CYFIP1	PANX2	SNX24	C9orf131	SULT1C4	ZNF696	GIT2	PPIL2	RIPPLY3	
		ZNF436-AS1		INTS6-AS1			RBM6			C14orf169	LOC100129697			TAPBPL	KCNQ1DN		AK5	USP53	MIR2110		DTX4		XRCC2	UBTF	UGT1A3	MEAT6	MGA	TOMM22	TMED7	RNF38	MMADHC	ARHGAP39	NUAK1	PITPNB	BRWD1	
		C1orf64		CPB2-AS1			RBM5			CATSPERB	URAHP			MAGOHB	PARVA		SNORA66	DKFZP434I0714	MIR548E		FAM89B		ZNF3	WNT3	FEV	LOC105378123	DMXL2	MKL1	ISOC1	GLIPR2	C2orf27A	ZNF34	RBM19	PISD	SLC37A1	
		IFNLR1		MIR4703			NME6			ZC3H14	LOC100287036			FAM90A1	MMP26		SNORD45B	OTUD4	MIR4295		SNHG1		ZKSCAN1	WNT9B	PID1	LOC105378127	VPS39	APOBEC3G	SAR1B	LINC00032	TFCP2L1	SHARPIN	RNF10	OSBP2	RBM11	
		FAM43B		TPTE2P5			CTDSPL			RIN3	LOC100289580			PLEKHG6	AKIP1		SNORD45A	DCHS2	MIR4296		POLA2		ZSCAN21	PCGF2	ATG16L1	LOC105378137	FAM189A1	XPNPEP3	MZB1	LINGO2	KCNIP3	EPPK1	NR1H4	IL17RA	PCBP3	
		TMEM51-AS1		MIR5693			EIF1B			C14orf159	MIR1910			STYK1	C11orf16		FOXD3	HPF1	MIR3941		FLRT1		ZYX	ZNF207	ANKZF1	LOC105378146	AP4E1	PARVG	PAIP2	FAM201A	ARHGEF4	SCRT1	SH2B3	APOL2	CYP4F29P	
		AKR7L		MIR5006			TRAIP			BBOF1	MIR3182			GPRC5D	TMEM9B		ANGPTL3	MARCH1	MIR3663		PRDX5		SHFM1	TAF15	USP40		CCNDBP1	CERK	CDKL3	TRMT10B	FAHD2A	TRAPPC9	ARPC3	AP1B1P1	C21orf58	
		TMCO4		LINC00562			ARIH2			SLIRP	LINC01082			ATF7IP	NRIP3		GPSM2	LARP1B	ADD3-AS1		TEX40		ST7	RND2	HJURP		DAPK2	EFCAB6	FAM13B	LINC00961	INSIG2	TATDN1	PLXNC1	ANKRD62P1-PARP4P3	YBEY	
		MDS2		LINC00563			ARL6IP5			DNAL1	C16orf95			H2AFJ	ASCL3		ALG6	BBS7	LINC00867		ZDHHC5		ARHGEF5	PIP4K2B	HES6		EID1	CENPM	FAM53C	ATP8B5P	ANKRD39	MAF1	MPHOSPH9	POTEH	LINC00160	
		LOC284632		LINC00441			NPRL2			RPS6KL1	MIR4720			FOXJ2	CHRNA10		SLC25A24	NEIL3	FAM24B-CUZD1		ATL3		ZNF212	CNTNAP1	ASIC4		NPAP1	ALG12	REEP2	C9orf72	FAM178B	UTP23	CAMKK2	BCL2L13	SMIM11A	
		SLC25A34		MED4-AS1			CXCR6			STON2	MIR4722			LMO3	PNPLA2		DNTTIP2	FBXW7	MIR4680		TKFC		TRRAP	TCAP	DOCK10		HYPK	NOL12	PRR16	FAM219A	MRPL30	PARP10	ZNF268	TFIP11	C21orf62-AS1	
		ESPNP		DLEU7-AS1			CSPG5			CIPC	MIR5093			PRMT8	PHRF1		TMED5	TMEM144	MIR4483		DKFZP434K028		ZNF282	AOC3	C2orf83		TMEM87A	CRELD2	COMMD10	CCDC107	KRCC1	C8orf76	TRAFD1	C22orf31	MIS18A	
		LINC01141		HTR2A-AS1			CCR9			PAPLN	MIR5189			PARP11	SCUBE2		TNNI3K	TMA16	MIR4682		B3GAT3		CUL1	BECN1	MFF		RPAP1	C22orf46	CXXC5	CBWD5	MRPL35	TIGD5	TMED2	GSTTP1	LINC00158	
		FAM131C		LINC00332			USP19			EFCAB11	PRCAT47			ANO2	ZBED5		SH3GLB1	UFSP2	MIR4484		OR5L2		TRIM24	KRT38	ACKR3		DKFZP434L187	CCDC134	RAPGEF6	ANKRD18A	REV1	NUDCD1	ERP29	C22orf24	CHODL-AS1	
		PADI6		ENOX1-AS2			SLC38A3			CHURC1	FAM157C			C12orf4	SIGIRR		HOOK1	MAML3	MIR4681		PPP1R14B		BUD31	KRT37	RNPEPL1		PYGO1	ADM2	ERAP1	FAM205A	LIPT1	FAM83A	CKAP4	DGCR11	TSPEAR-AS1	
		SPATA21		LINC00366			CYB561D2			ELMSAN1	LINC01081			TIGAR	RIC8A		SNX7	DDX60	FANK1-AS1		TIMM10		MGAM	KRT36	WDFY1		BLOC1S6	BAIAP2L2	KDM3B	LOC286297	CHMP3	PPP1R16A	GCN1	DGCR9	TSPEAR	
		TMEM82		LINC00400			TMEM115			LIN52	LOC101927793			LPAR5	MRPL17		DPH5	CDKN2AIP	LOC101927692		BSCL2		WASL	CDK5R1	NYAP2		GREM1	SCUBE1	PHAX	TUSC1	LRP1B	MED30	METAP2	FBXO7	LINC00113	
		PLA2G2C		LINC00571			RPP14			NEK9	LOC101927817			AICDA	EPS8L2		GPR88	TENM3	MIR3663HG		PRPF19		PLOD3	HAP1	USP37		RNU5A-1	TRABD	EPB41L4A-AS2	FOXD4L3	CCDC93	ZNF251	SDS	RHBDD3	LINC00112	
		SH2D5		RNASEH2B-AS1			FAM107A			IFT43	LINC01229			RIMKLB	STK33		TRMT13	TMEM184C	FAM53B-AS1		MACROD1		DGKI	MAP3K14	CTDSP1		RNU5B-1	PNPLA3	ZCCHC10	IFNE	SEMA4C	KIFC2	GLIPR1	POM121L1P	LINC00111	
		LDLRAD2		SLC25A30-AS1			WDR6			NOXRED1	LINC01227			FAM234B	CHID1		L1TD1	LRP2BP	EDRF1-AS1		SLC43A3		AP4M1	ZNHIT3	GAL3ST2		FOXB1	SELO	GIN1	KIF24	PTCD3	PKHD1L1	RAB35	TXN2	SETD4	
		UQCRHL		SMIM2-IT1			RASSF1			JDP2	LOC101928417			CLEC7A	OR51G1		ZNHIT6	PDGFC	MIR6715B		SAC3D1		ATP6V1F	EFTUD2	TMBIM1		RPUSD2	L3MBTL2	WDR55	IGFBPL1	PLEKHB2	NAPRT	SNRNP35	DGCR5	FAM3B	
		MINOS1		MRPS31P5			NISCH			ISCA2	LOC101928446			BCL2L14	OR51B4		LEPROT	FSTL5	MIR6715A		SNX15		ASIC3	RPL23	RAB17		TUBGCP4	HDAC10	ANKHD1	FOXD4L4	RIF1	TBC1D31	KERA	DGCR10	RIPK4	
		RPS14P3		LINC00437			TREX1			ACOT4	LOC101928557			RERGL	OR51B2		GIPC2	STOX2	LOC102724589		EFEMP2		PMPCB	NPEPPS	RNF25		SCG3	LDOC1L	TMCO6	ENHO	STEAP3	HPYR1	KRR1	FBXW4P1	CLIC6	
		LACTBL1		LOC101929140			SCN11A			TTC8	LOC101928614			PLBD1	OR52N1		PALMD	ANKRD50	LOC103344931		KCNK4		ATP5J2	GOSR1	COPS7B		TMOD3	POLDIP3	TRIM36	AQP7P1	THNSL2	MFSD3	PRDM4	TRMT2A	LINC00308	
		C1orf195		SMIM2-AS1			TUSC2			TC2N	LOC101928659			NANOG	RIC3		FNBP1L	RNF150	LINC01435		UBXN1		PDIA4	CCL4L2	MRPL44		TMOD2	C22orf23	RIOK2	FGF7P6	ACOXL	MAL2	CIT	INPP5J	MRPL39	
		C1orf234		LOC101929259			TWF2			SLC24A4	LOC101928682			DUSP16	SLC25A22		PRPF38B	PCDH10	SNORA87		TMX2		UBE3C	GOSR2	TRPM8		EHD4	PHF5A	PCDHA1	FAM205BP	WDR33	CSMD3	PWP1	RSPH14	C21orf91	
		FAM231A		LINC01198			TRAK1			RDH12	LOC101928708			APOLD1	PGGHG		LRRC8D	CFAP97			TMEM216		FAM131B	NR1D1	ATG9A		DUOX2	KIAA1644	VTRNA1-3	SPATA31A6	CNOT11	RHPN1	FICD	HSFY1P1	DNAJC28	
		FAM231C		LOC101929657			DHX30			ADAM21P1	LOC101928737			GSG1	OR51G2		PRMT6	FNIP2			SLC15A3		DOCK4	TBKBP1	MLPH		MYEF2	SHANK3	VTRNA1-2	GLIDR	SMPD4	FBXO32	NUDT4	CECR6	C21orf62	
		FLJ37453		MIR8079			SACM1L			LOC145474	LOC101928880			CDCA3	OR51E2		RAVER2	SH3RF1			MS4A4A		TCAF1	PLEKHM1	FAM134A		RPS27L	MICALL1	VTRNA1-1	FAM221B	TMEM127	TOP1MT	FZD10	CECR5	MRAP	
		LOC100132147		LINC01065			SCAP			PTGR2	MIR6504			RBP5	PTDSS2		FGGY	METTL14			TRMT112		DNAJB6	MED24	GLB1L		NDUFAF1	TUBGCP6	FEM1C	OR13J1	PRPF40A	CCDC26	PHLDA1	CECR3	C21orf59	
		FAM231B		LOC103191607			LAMB2P1			FAM161B	MIR6775			ACRBP	MOB2		MCOLN3	IL21			TMEM138		ABCF2	LRRC37A	CHPF		RSL24D1	LMF2	C5orf15	HACD4	IWS1	ZNF572	MLXIP	CECR2	AGPAT3	
		MIR1256		LINC01050			EXOSC7			LRRC74A	MIR7854			SPSB2	SBF2		RNPC3	RXFP1			WDR74		MUC12	HDAC5	IQCA1		NUSAP1	RPS19BP1	CDC42SE2	LINC01242	LIMS2	LYPD2	RPH3A	POM121L9P	MAP3K7CL	
		MIR1290		DLEU1-AS1			PDZRN3			ISM2	MIR8058			CRACR2A	FAM160A2		LRRC40	SPCS3			MS4A12		ARPC1B	GJC1	NHEJ1		EMC4	SMDT1	TRPC7	TMEM215	KANSL3	TMEM71	P2RX2	UQCR10	SCAF4	
		MIR3115		LINC01055			RAD54L2			CEP128	MIR6774			RERG	FAR1		DEPDC1	SCOC			MRPL16		NAMPT	PSME3	FAM124B		RASL12	RRP7BP	ZNF608	TOMM5	MBD5	FER1L6-AS2	FBXO21	POM121L8P	JAM2	
		MIR4253		LINC00428			FRMD4B			TTC7B	MAFTRR			HTR7P1	BTBD10		GNG12	TRAPPC11			SDHAF2		RASA4	EIF1	TM4SF20		SPG21	SERHL	SEMA6A	FAM74A1	KDM3A	TMEM65	SETD1B	YPEL1	EVA1C	
		MIR3675		LOC105370177			STAB1			FAM71D	LOC102724084			CLEC6A	MICALCL		KYAT3	HHIP			TMEM132A		AASS	NBR2	C2orf54		SPTBN5	PHF21B	EPB41L4A	FAM74A4	ARHGAP15	LINC00964	UHRF1BP1L	ZDHHC8	PRDM15	
		LOC100506730		LINC00390			NBEAL2			TMEM229B	LOC102724163			C12orf57	TRIM5		TMEM167B	NDST4			HRASLS2		SLC25A13	RAMP2	TUBA4B		HACD3	KLHDC7B	ERAP2	ZNF658B	CFC1	FAM84B	ANKLE2	VPREB3	SAMSN1	
		LOC100506801		LOC105370203			FAM208A			ACTN1-AS1	LOC102724344			BORCS5	SYT8		AMIGO1	NDNF			VPS37C		LRRC17	VAT1	ARMC9		CTDSPL2	FAM83F	SIL1	LOC403323	IL36G	TMEM74	CUX2	PLA2G3	TMPRSS3	
		TCEB3-AS1		SETDB2-PHF11			KLHL18			SAMD15	LOC102724467			TMEM52B	PRKCDBP		ODF2L	FAT4			CDC42BPG		POP7	P3H4	EFHD1		KLF13	TNFRSF13C	FBXL17	MIR31	RPRM	FAM91A1	KIAA1033	DRICH1	MRPS6	
		MINOS1-NBL1					LARS2			EML5	FOXC2-AS1			HIST4H4	ODF3		KIAA1324	ARSJ			OTUB1		FAM3C	HEXIM1	SPHKAP		RAB8B	SNORD139	YTHDC2	CNTFR-AS1	UGGT1	SLC30A8	MED13L	RTCB	RUNX1-IT1	
		MIR4695					RYBP			PROX2	LOC105371414			ERP27	OSBPL5		LRRC7	ARHGAP10			PACS1		COG5	CCT6B	WNT10A		DUOX1	SNORD83A	GRAMD3	LOC440896	STARD7	COL22A1	ZDHHC17	MTFP1	COL18A1	
		MIR4419A					NAT6			LOC283575				SLC2A14	LRRC56		CACHD1	CENPU			SLC22A11		ZNHIT1	C1QL1	SLC19A3		CSNK1G1	SNORD83B	TXNDC15	LINC01239	DPP10	ADCK5	SIRT4	MED15	LRRC3	
		MIR3972					ABHD14A			ZDHHC22				A2ML1	MRGPRE		MIER1	HAND2-AS1			GPR137		ARPC1A	RUNDC3A	ILKAP		MAGEL2	ANKRD54	MCTP1	SUGT1P1	EPB41L5	TSNARE1	ABCB9	UPB1	SPATC1L	
		MIR4684					POC1A			TMED8				A2M-AS1	ART5		PTBP2	MAP9			CD248		SH2B2	STARD3	ITM2C		DLL4	APOBEC3D	NUDT12	ANKRD20A3	ANKRD36B	MAPK15	ISCU	TUBA8	LINC01547	
		MIR5096					TMEM158			C14orf178				C12orf60	TRIM6		DNASE2B	TNIP3			SCYL1		STAG3	CBX1	RHBDD1		INO80	ENTHD1	SLC4A9	ANKRD20A2	SLC5A7	NSMCE2	RIMBP2	CECR1	DSCR8	
		MIR4418					NDUFAF3			LOC283585				CLEC12A	OR52E2		ADGRL4	JADE1			MS4A7		CPSF4	DDX52	ING5		FAM63B	DNAJB7	SPATA9	AQP7P3	ANAPC1	ZNF707	ATP6V0A2	DGCR8	URB1-AS1	
		MIR378F					MYRIP			LINC01146				CLECL1	OR52J3		MFSD14A	WWC2			FAM111A		FASTK	DUSP14	PLCD4		RNF111	CHADL	TSSK1B	ANKRD18B	RMND5A	BREA2	CORO1C	GNB1L	BAGE4	
		RCAN3AS					PTPN23			ADAM20P1				CLEC4C	OR51L1		DLEU2L	NAA15			MS4A6A		COPS6	SYNRG	MGC16025		ZNF280D	MEI1	FAM172A	PTGER4P2-CDK2AP2P2	MRPS9	FAM83H	MGAT4C	LINC01521	BAGE3	
		PINK1-AS					DNAH1			ITPK1-AS1				ZNF384	OR51A7		EPS8L3	ABHD18			MS4A5		DUS4L	CASC3	DNER		TRPM7	FAM109B	PCBD2	CBWD3	MRPS5	LINC01591	FBXW8	TUG1	BAGE2	
		LINC01355					HIGD1A			SNORD56B				DSTNP2	OR51S1		TTLL7	CEP44			KLC2		ZNF277	IKZF3	B3GNT7		VPS13C	NFAM1	PSD2	MIR31HG	REEP1	ZNF252P	HSPB8	PEX26	FAM207A	
		LOC101927876					LRIG1			VSX2				PIANP	OR51F2		WDR78	SETD7			TUT1		ABCB8	GPATCH8	SP140L		PPP1R14D	PNPLA5	SLF1	LOC554249	SOWAHC	TMED10P1	RNU4-2	ZMAT5	RSPH1	
		LOC101927895					ERC2			RAB15				LINC00612	OR52R1		RPAP2	SLC25A31			C11orf95		PDAP1	KCNH4	LOC93463		DPP8	PRR34-AS1	CYSTM1	PGM5-AS1	PDCL3	ZNF252P-AS1	RNU4-1	SUSD2	UMODL1	
		UBXN10-AS1					APPL1			HEATR4				TAS2R43	OR52M1		WLS	RAB33B			AHNAK		TFEC	SUZ12	STK11IP		MTMR10	CDPF1	MEGF10	MIR491	C2orf49	C8orf31	HCAR1	EIF4ENIF1	ERVH48-1	
		LOC101928043					GNL3			PLEKHD1				TAS2R31	OR52K2		RPF1	SNX25			TMEM223		LAMB4	FAM215A	MOGAT1		PARP16	GTSE1-AS1	TSLP	PGM5P2	TMEM185B	ZFP41	UTP20	ASPHD2	PAXBP1	
		LOC101928163					FOXP1			FOXN3-AS1				TAS2R46	OR5P2		ANKRD13C	TTC29			TMEM109		LMTK2	KRT23	AGAP1		ZNF770	APOBEC3H	C5orf30	FRG1JP	SAP130	GPIHBP1	MRPL42	MICAL3	LINC00310	
		MIR6084					SPCS1			LINC00642				TAS2R30	OR5P3		ST6GALNAC5	MND1			CCDC86		PAXIP1	TMEM98	TWIST2		FLJ10038	WBP2NL	LYRM7	LOC642929	GTDC1	KLHL38	IFT81	MRPL40	LINC00313	
		MIR6127					SETD2			LINC00238				TAS2R19	OR2D3		GPR61	SLC10A7			LBHD1		KLHDC10	TBC1D29	DIS3L2		HAUS2	POLR3H	SLC25A46	LINC01189	MZT2B	NRBP2	CCDC59	RTN4R	B3GALT5-AS1	
		LOC105376805					PRSS50			CCDC88C				TAS2R20	OR2D2		TM2D1	TKTL2			TRIM48		SSPO	AATF	NEU4		RMDN3	APOBEC3A	CDKN2AIPNL	CNTNAP3P2	MAP3K19	ZNF517	FAM216A	SLC2A11	LINC00334	
		LOC105378614					RBM15B			ACOT1				TAS2R50	OR52W1		SYDE2	QRFPR			NAA40		NUP205	TUBG2	AP1S3		DNAJC17	APOBEC3F	PRDM6	CBWD6	UXS1	WDR97	HCFC2	C22orf29	TSPEAR-AS2	
							GMPPB			ACOT6				C1RL-AS1	OR56A4		ZNF644	KIAA1109			ZBTB3		AHCYL2	NKIRAS2	SGPP2		MNS1	SERHL2	FTMT	FLJ43315	SLC35F5	TMEM249	SYCP3	FOXRED2	MCM3AP-AS1	
							ARHGEF3			FUT8-AS1				CD163L1	OR56A1		LRRC8C	USP38			CPSF7		TNPO3	COA3	SPATA3		NOP10	RNU12	FNIP1	HRCT1	TSGA10	RSPO2	CHST11	THAP7	MIR155HG	
							VILL			LOC646548				RPL13P5	SYT9		SGIP1	MGARP			ASRGL1		HYAL4	PSMC3IP	TMEM198		MYO5C	ATP5L2	SLC35A4	SPATA31A1	THSD7B	SPATC1	GALNT9	APOL6	CYYR1	
							ABHD5			SYNDIG1L				CLEC9A	OR52B4		EFCAB7	CBR4			MUS81		TSPAN12	SNX11	ZFAND2B		NSMCE3	LOC284930	EPB41L4A-AS1	FOXD4L6	TMEM177	MROH5	CCDC53	APOL5	OLIG1	
							C3orf18			SNORA79				LINC01559	C11orf40		PSRC1	FHDC1			INTS5		CLEC5A	TBX21	FBXO36		FAM214A	LOC284933	MARCH3	FOXD4L5	LMAN2L	MAFA	CEP83	APOL4	LINC00161	
