cytoband	11q13.3	8p11.23	20q13.2	19q13.43	8q24.13	17q23.2	1q43	15q26.2	11p13	6q13	10q21.3	3q28	17p11.2	10p15.1	7p21.2	4q31.21	5p14.3	13q32.2	16p13.2	17q24.3	19p13.2	1p31.3	16q12.1	21q22.3	2p25.1	20q11.23	2q24.3	4p15.1	9p24.1	12p11.22	12q24.13	3p22.3	Xp21.3	18p11.31	13q12.3	7q21.3	14q32.2	11q24.2	1q21.2	8p22	18q12.2	16p11.2	6p24.3	6p22.3	
																																												DEFB114	
																																												LACE1	
																																												HCG27	
																																												TMEM244	
																																												MMS22L	
																																												WDR27	
																																												FAM26E	
																																												MCM9	
																																												RNF144B	
																																												HIST1H2BA	
																																												SCML4	
																																												GPX6	
																																												SHPRH	
																																												NCR3	
																																												LY6G6F	
																																												MDGA1	
																																												ADGRF1	
																																												ZNF311	
																																												LINC00326	
																																												PHACTR2-AS1	
																																												CEP57L1	
																																												PPIL6	
																																												LINC01268	
																																												FLJ34503	
																																												DCBLD1	
																																												LOC285762	
																																												LOC285766	
																																												LINC01622	
																																												LY86-AS1	
																																												CAGE1	
																																												PACRG-AS1	
																																												PRR18	
																																												LOC285804	
																																												LOC285819	
																																												HLA-F-AS1	
																																												HCG22	
																																												LOC285847	
																																												PNPLA1	
																																												TREML4	
																																												RPL7L1	
																																												TAAR6	
																																												SLC35D3	
																																												ZC3H12D	
																																												MYLK4	
																																												DPPA5	
																																												IFITM4P	
																																												CLPSL1	
																																												TREML1	
																																												TREML3P	
																																												RSPH4A	
																																												ECT2L	
																																												EYS	
																																												ZNF391	
																																												ZFP57	
																																												TUBB2B	
																																												SLC35B2	
																																												C6orf52	
																																												NUP43	
																																												HCG26	
																																												C6orf58	
																																												RAET1G	
																																												KAAG1	
																																												GUSBP4	
																																												GJB7	
																																												NHLRC1	
																																												ZKSCAN4	
																																												GUSBP2	
																																												LINC00533	
																																												HMGA1P7	
																																												SNHG5	
																																												SUMO4	
																																												CENPW	
																																												SOGA3	
																																												LINC00222	
																																												CEP85L	
																																												C6orf120	
																																												VN1R10P	
																																												HIST1H2APS1	
																																												THEMIS	
																																												PSMG4	
																																												SFTA2	
																																												CLPSL2	
																																												C6orf222	
																																												GLYATL3	
																																												GFRAL	
																																												LIN28B	
																																												SAMD5	
																																												IYD	
																																												MUC21	
																																												LINC01011	
																																												HTATSF1P2	
																																												STMND1	
																																												CASC15	
																																												LINC01623	
																																												LINC00243	
																																												MCCD1	
																																												SAPCD1	
																																												LINC00336	
																																												RAB44	
																																												LINC00951	
																																												LOC401261	
																																												CRIP3	
																																												TRAM2-AS1	
																																												KLHL31	
																																												DKFZp451B082	
																																												TCP10L2	
																																												LOC401286	
																																												LINC00242	
																																												LINC01624	
																																												DEFB133	
																																												C6orf201	
																																												GTF2H5	
																																												ERVFRD-1	
																																												MIR206	
																																												MIR219A1	
																																												MIR30A	
																																												MIR30C2	
																																												HCG14	
																																												HCG23	
																																												HCG25	
																																												HCG16	
																																												HCG24	
																																												HCG18	
																																												HCG17	
																																												LINC00266-3	
																																												C6orf226	
																																												TMEM151B	
																																												LOC441155	
																																												OOEP	
																																												FAM26F	
																																												FLJ46906	
																																												LINC00602	
																																												LOC441178	
																																												OR2B3	
																																												OR2J3	
																																												OR14J1	
																																												OR10C1	
																																												ATP6V0CP3	
																																												PTCHD4	
																																												SLC25A51P1	
																																												GSTM2P1	
																																												RFPL4B	
																																												MIR133B	
																																												GGNBP1	
																																												HCG11	
																																												KU-MEL-3	
																																												LOC554223	
																																												SNORD101	
																																												SNORD100	
																																												SNORA33	
																																												FAM229B	
																																												TSG1	
																																												LOC643623	
																																												TRAF3IP2-AS1	
																																												CTAGE9	
																																												LINC01625	
																																												RPS18P9	
																																												LOC645967	
																																												RAET1K	
																																												C6orf132	
																																												RPS16P5	
																																												PPP1R3G	
																																												ZNF192P1	
																																												AFDN-AS1	
																																												SNORA20	
																																												SNORA29	
																																												SNORA38	
																																												SNORD50B	
																																												SNORD32B	
																																												SNORD84	
																																												SNORD117	
																																												MIR548A1	
																																												MIR548A2	
																																												MIR548B	
																																												MIR586	
																																												MIR587	
																																												MIR588	
																																												MCHR2-AS1	
																																												TPI1P3	
																																												METTL24	
																																												HULC	
																																												KATNBL1P6	
																																												NBAT1	
																																												STXBP5-AS1	
																																												TMEM242	
																																												LINC01556	
																																												LOC729603	
																																												PACRG-AS3	
																																												LOC730101	
																																												GSTA7P	
																																												TDRG1	
																																												LIN28B-AS1	
																																												TMEM170B	
																																												SCARNA27	
																																												MIR877	
																																												HGC6.3	
																																												UST-AS1	
																																												TRAPPC3L	
																																												KHDC1L	
																																												ZSCAN16-AS1	
																																												LYRM4-AS1	
																																												LOC100129518	
																																												LOC100129636	
																																												TFAP2A-AS1	
																																												LOC100130357	
																																												LOC100130476	
																																												PSORS1C3	
																																												TSTD3	
																																												C6orf99	
																																												LOC100131047	
																																												LOC100131289	
																																												LOC100131532	
																																												LINC00271	
																																												LINC01512	
																																												LOC100132735	
																																												LINC00240	
																																												CD24	
																																												TOMM6	
																																												LOC100270746	
																																												AIRN	
																																												LOC100287632	
																																												ANKRD66	
																																												HMGN3-AS1	
																																												LOC100289495	
																																												LOC100294145	
																																												NHEG1	
																																												MIR1275	
																																												MIR1913	
																																												MIR2113	
																																												MIR1236	
																																												MIR1202	
																																												LOC100422737	
																																												MIR1273C	
																																												MIR548U	
																																												MIR3143	
																																												MIR3144	
																																												MIR3145	
																																												MIR4282	
																																												MTRNR2L9	
																																												MIR3918	
																																												MIR3939	
																																												MIR3934	
																																												MIR3668	
																																												MIR3662	
																																												MIR3925	
																																												MIR3692	
																																												MIR3691	
																																												SYNE1-AS1	
																																												LOC100505530	
																																												LOC100505635	
																																												KIF25-AS1	
																																												LOC100506188	
																																												LOC100506207	
																																												ELOVL2-AS1	
																																												JARID2-AS1	
																																												LOC100506804	
																																												LOC100506885	
																																												LINC01012	
																																												LOC100507194	
																																												SMLR1	
																																												LINC01013	
																																												TARID	
																																												LINC01015	
																																												KCNQ5-IT1	
																																												HCG8	
																																												LOC100507406	
																																												MICA	
																																												GVQW2	
																																												PSMB8-AS1	
																																												LOC100507477	
																																												LINC01277	
																																												LOC100507506	
																																												LOC100507547	
																																												LOC100507557	
																																												LINC01016	
																																												MUC22	
																																												GMDS-AS1	
																																												CAHM	
																																												BLOC1S5-TXNDC5	
																																												EEF1E1-BLOC1S5	
																																												RPS10-NUDT3	
																																												MSH5-SAPCD1	
																																												ATP6V1G2-DDX39B	
																																												PPT2-EGFL8	
																																												MIR4464	
																																												MIR4647	
																																												MIR4466	
																																												MIR4643	
																																												MIR4641	
																																												MIR4465	
																																												MIR548AJ1	
																																												MIR3135B	
																																												MIR4646	
																																												MIR4459	
																																												MIR4640	
																																												MIR4639	
																																												MIR4645	
																																												MIR548AI	
																																												MIR4642	
																																												MIR4463	
																																												MIR4462	
																																												MIR4644	
																																												MIR548H5	
																																												RAET1E-AS1	
																																												MIR5689	
																																												MIR5004	
																																												MIR5683	
																																												MIR5690	
																																												MIR5685	
																																												RPS6KA2-AS1	
																																												KCNQ5-AS1	
																																												MLIP-IT1	
																																												SYNJ2-IT1	
																																												RPS6KA2-IT1	
																																												LINC00581	
																																												LOC100996634	
																																												FOXP4-AS1	
																																												LINCMD1	
																																												PANDAR	
																																												EZR-AS1	
																																												LOC101926898	
																																												LOC101926915	
																																												LOC101926934	
																																												LOC101926962	
																																												LOC101927020	
																																												LOC101927048	
																																												LOC101927082	
																																												LOC101927136	
																																												LINC01564	
																																												LOC101927189	
																																												LOC101927211	
																																												MANEA-AS1	
																																												LOC101927314	
																																												LOC101927365	
																																												LOC101927640	
																																												LOC101927686	
																																												LOC101927691	
																																												FOXCUT	
																																												LOC101927730	
																																												LOC101927759	
																																												LOC101927768	
																																												LOC101927919	
																																												LOC101927950	
																																												LOC101927972	
																																												HRAT13	
																																												LOC101928140	
																																												LOC101928191	
																																												LOC101928231	
																																												LOC101928253	
																																												LOC101928280	
																																												LOC101928304	
																																												LOC101928307	
																																												EVADR	
																																												LOC101928429	
																																												LOC101928433	
																																												LOC101928461	
																																												LOC101928489	
																																												LOC101928491	
																																												LOC101928516	
																																												LOC101928519	
																																												LOC101928540	
																																												MEI4	
																																												C6orf229	
																																												LOC101928661	
																																												LOC101928663	
																																												LINC01526	
																																												LOC101928820	
																																												LOC101928911	
																																												LOC101928936	
																																												LOC101929006	
																																												LOC101929057	
																																												CASC6	
																																												LOC101929122	
																																												LOC101929163	
																																												LOC101929188	
																																												PACRG-AS2	
																																												LOC101929243	
																																												LOC101929297	
																																												LOC101929420	
																																												LOC101929460	
																																												LINC01615	
																																												LOC101929504	
																																												LOC101929523	
																																												LOC101929555	
																																												LOC101929705	
																																												ARMC2-AS1	
																																												LOC101929726	
																																												LOC101930010	
																																												C2-AS1	
																																												LINC01108	
																																												MIR6833	
																																												MIR6834	
																																												MIR6835	
																																												MIR6891	
																																												MIR7111	
																																												MIR7161	
																																												MIR7641-2	
																																												MIR6721	
																																												MIR6720	
																																												MIR6832	
																																												MIR6780B	
																																												MIR6873	
																																												MIR7159	
																																												MIR7853	
																																												HCG21	
																																												LOC102723649	
																																												LOC102723831	
																																												LOC102723883	
																																												LINC01626	
																																												LOC102724053	
																																												LOC102724096	
																																												LOC102724152	
																																												TBX18-AS1	
																																												LOC102724357	
																																												LOC102724511	
																																												LINC01276	
																																												LOC103352541	
																																												NCOA7-AS1	
																																												SAPCD1-AS1	
																																												TRIM31-AS1	
																																												LOC105374952	
																																												LOC105374960	
																																												LOC105374972	
																																												LOC105374988	
																																												HCG20	
																																												LOC105375014	
																																												LOC105375075	
																																												LOC105377879	
																																												LINC01611	
																																												LOC105377924	
																																												LOC105377962	
																																												LOC105377967	
																																												LOC105377975	
																																												LOC105378047	
																																												LOC105378052	
																																												LOC105378068	
																																												LOC105378098	
																																												MEAT6	
																																												LOC105378123	
																																												LOC105378127	
																																												LOC105378137	
																																												LOC105378146	
																																												LUADT1	
																																												MDC1-AS1	
																																												DDX39B-AS1	
																																												HLA-DQB1-AS1	
																																												SNORA98	
																																												SNORD141A	
																																												MIR5689HG	
																																												LINC00680	
																																												LINC00680-GUSBP4	
																																												TBC1D7-LOC100130357	
																																												CNPY3-GNMT	
