Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band
ENSG00000269300	19	8821501	8824110	p13.2
ENSG00000274379	14	94918253	94918734	q32.13
ENSG00000163714	3	142964497	143060546	q23
ENSG00000255639	12	4649101	4774184	p13.32
ENSG00000272744	4	183516894	183517527	q35.1
ENSG00000237256	20	11621051	11621477	p12.2
ENSG00000111875	6	118894220	118909167	q22.31
ENSG00000268738	X	149592515	149594716	q28
ENSG00000087338	2	69829642	69881396	p13.3
ENSG00000106546	7	16916359	17346152	p21.1
ENSG00000214326	21	43551229	43551600	q22.3
ENSG00000267585	18	34573987	34574523	q12.1
ENSG00000225933	2	87654890	87655243	p11.2
ENSG00000144724	3	61561569	62297613	p14.2
ENSG00000227666	9	94038030	94038345	q22.32
ENSG00000282292	CHR_HSCHR14_3_CTG1	106465631	106465688	
ENSG00000282325	CHR_HSCHR17_2_CTG5	45452499	45463720	
ENSG00000273259	14	94592058	94624646	q32.13
ENSG00000233999	2	87338511	87339035	p11.2
ENSG00000267809	19	53223973	53224879	q13.42
ENSG00000236710	11	3084393	3085443	p15.4
ENSG00000235972	6	150040547	150042033	q25.1
ENSG00000248369	4	132435802	132447235	q28.3
ENSG00000268460	19	46203426	46214837	q13.32
ENSG00000234518	1	89104285	89104767	p22.2
ENSG00000282576	CHR_HSCHR14_3_CTG1	106442706	106442759	
ENSG00000249740	5	38710367	38845829	p13.1
ENSG00000274508	16	55425574	55426130	q12.2
ENSG00000177994	2	54330034	54383742	p16.2
ENSG00000105088	19	9853718	9936552	p13.2
ENSG00000149313	11	106075501	106098710	q22.3
ENSG00000228979	17	63471604	63472093	q23.3
ENSG00000241933	3	57693205	57696596	p14.3
ENSG00000265971	17	63454993	63455817	q23.3
ENSG00000125648	19	6436079	6465203	p13.3
ENSG00000243646	21	33266358	33310187	q22.11
ENSG00000275234	19	6469465	6470152	p13.3
ENSG00000244723	22	23649213	23653334	q11.23
ENSG00000226041	2	16202430	16204226	p24.3
ENSG00000197249	14	94376747	94390693	q32.13
ENSG00000100968	14	24365673	24379604	q12
ENSG00000139880	14	23047062	23057538	q11.2
ENSG00000285079	1	65703962	65714847	p31.3
ENSG00000105428	19	5455431	5456856	p13.3
ENSG00000144655	3	39141855	39154562	p22.2
ENSG00000228890	Y	9717653	9721296	p11.2
ENSG00000250822	5	17378906	17387310	p15.1
ENSG00000235554	17	16616848	16617881	p11.2
ENSG00000249199	5	17369225	17375577	p15.1
ENSG00000236687	9	131816192	131820988	q34.13
ENSG00000255749	12	14254912	14255226	p13.1
ENSG00000125534	20	63520724	63522206	q13.33
ENSG00000279045	11	89548130	89548795	q14.3
ENSG00000044446	X	18892300	18984598	p22.13
ENSG00000256084	12	14216590	14221297	p13.1
ENSG00000255429	11	89546637	89589611	q14.3
ENSG00000227760	12	14192002	14192284	p13.1
ENSG00000185296	5	17306381	17306960	p15.1
ENSG00000196589	19	7018969	7021450	p13.2
ENSG00000240498	9	21994778	22121097	p21.3
ENSG00000135924	2	219279267	219286900	q35
ENSG00000264801	9	21929457	21931073	p21.3
ENSG00000204869	19	46039748	46077118	q13.32
ENSG00000171307	10	97446131	97457370	q24.1
ENSG00000213352	12	62755227	62756233	q14.2
ENSG00000109158	4	46918900	46994407	p12
ENSG00000257389	12	52837403	52837739	q13.13
ENSG00000251320	5	147887112	147887704	q32
ENSG00000248362	5	147886086	147886878	q32
ENSG00000235308	1	88923370	88923844	p22.2
ENSG00000188425	19	45913214	45914870	q13.32
ENSG00000235493	3	27916774	28059268	p24.1
ENSG00000279706	9	68250469	68251656	q21.11
ENSG00000134531	12	13196716	13219939	p13.1
ENSG00000268480	19	8630671	8638649	p13.2
ENSG00000266952	18	64181314	64260055	q22.1
ENSG00000247240	15	74461265	74481302	q24.1
ENSG00000234519	6	169067818	169069424	q27
ENSG00000279775	17	40597113	40598585	q21.2
ENSG00000273132	6	149852462	149853192	q25.1
ENSG00000145700	5	75068275	75236878	q13.3
ENSG00000241052	14	35144021	35144480	q13.2
ENSG00000282687	CHR_HSCHR14_3_CTG1	106265459	106265486	
ENSG00000282127	CHR_HSCHR14_3_CTG1	106264133	106264397	
ENSG00000144935	3	142724074	142807888	q23
ENSG00000232813	X	48274904	48275047	p11.23
ENSG00000282609	CHR_HSCHR14_3_CTG1	106258533	106258994	
ENSG00000259459	15	63390136	63438320	q22.2
ENSG00000282281	CHR_HSCHR14_3_CTG1	106235833	106236365	
ENSG00000254265	8	1730206	1731452	p23.3
ENSG00000258487	14	44444747	44480618	q21.2
ENSG00000213846	3	27632976	27635427	p24.1
ENSG00000155636	2	178112424	178139011	q31.2
ENSG00000259126	14	44392531	44393716	q21.2
ENSG00000250983	3	133546071	133546272	q22.1
ENSG00000184677	1	22428838	22531157	p36.12
ENSG00000214301	3	133490824	133491505	q22.1
ENSG00000168309	3	58564117	58627610	p14.2
ENSG00000255348	11	134178824	134186166	q25
ENSG00000108381	17	3472374	3503419	p13.2
ENSG00000164047	3	48223347	48225491	p21.31
ENSG00000120265	6	149749443	149811420	q25.1
ENSG00000246366	8	70608577	70663279	q13.3
ENSG00000233506	CHR_HSCHR6_MHC_QBL_CTG1	29137868	29138804	
ENSG00000229210	CHR_HSCHR6_MHC_DBB_CTG1	29636014	29636297	
ENSG00000276478	9	87799501	87821803	q22.1
ENSG00000108219	10	80454166	80533123	q23.1
ENSG00000214189	19	12092263	12137235	p13.2
ENSG00000118680	18	3261479	3278431	p11.31
ENSG00000243864	19	33340686	33341984	q13.11
ENSG00000254501	11	65110714	65111695	q13.1
ENSG00000168546	8	21690403	21812357	p21.3
ENSG00000234913	22	18004270	18007308	q11.21
ENSG00000273077	4	128552590	128553416	q28.2
ENSG00000260771	6	168374697	168375355	q27
ENSG00000250889	5	75047719	75052843	q13.3
ENSG00000164823	8	89901849	89927888	q21.3
ENSG00000149499	11	62602218	62612765	q12.3
ENSG00000173542	4	70902326	71022449	q13.3
ENSG00000229549	Y	9357797	9360599	p11.2
ENSG00000110619	11	3000922	3057613	p15.4
ENSG00000254239	5	135897637	135900250	q31.1
ENSG00000228383	Y	9367803	9377092	p11.2
ENSG00000225813	2	161281902	161282618	q24.2
ENSG00000165383	10	48909483	48914232	q11.23
ENSG00000227801	CHR_HSCHR6_MHC_COX_CTG1	33084308	33114125	
ENSG00000206526	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525	
ENSG00000226542	2	235084822	235088586	q37.2
ENSG00000221994	X	47983356	48071658	p11.23
ENSG00000232969	21	44339376	44340470	q22.3
ENSG00000138613	15	63276018	63309126	q22.2
ENSG00000099875	19	2037465	2051244	p13.3
ENSG00000170965	X	134565838	134764322	q26.3
ENSG00000006071	11	17392498	17476879	p15.1
ENSG00000104408	8	108201216	108435333	q23.1
ENSG00000236961	6	43722786	43737834	p21.1
ENSG00000278901	5	140878073	140882642	q31.3
ENSG00000251664	5	140875302	141012344	q31.3
ENSG00000259462	15	82647770	82692820	q25.2
ENSG00000282637	CHR_HSCHR17_2_CTG5	45316960	45317040	
ENSG00000223646	7	112622378	112708080	q31.1
ENSG00000129221	17	6393693	6435199	p13.2
ENSG00000213801	19	52927135	52942601	q13.41
ENSG00000267179	19	11925075	11979290	p13.2
ENSG00000271220	10	28812899	28813139	p12.1
ENSG00000258987	14	93939555	93944129	q32.12
ENSG00000127948	7	75899200	75986855	q11.23
ENSG00000235819	9	86414282	86414570	q21.33
ENSG00000232724	17	75074306	75079549	q25.1
ENSG00000214908	9	86374966	86375706	q21.33
ENSG00000131023	6	149658153	149718256	q25.1
ENSG00000255097	11	9242448	9245509	p15.4
ENSG00000279321	21	9913117	9914846	p11.2
ENSG00000153914	5	66139971	66183615	q12.3
ENSG00000162434	1	64833229	64966504	p31.3
ENSG00000176842	16	54930862	54934485	q12.2
ENSG00000226774	X	23351013	23351450	p22.11
ENSG00000234787	13	54115783	54132866	q14.3
ENSG00000233828	5	87205408	87240145	q14.3
ENSG00000254847	11	12538083	12540967	p15.3
ENSG00000264968	17	39927742	39939601	q21.1
ENSG00000225132	CHR_HSCHR6_MHC_COX_CTG1	33034341	33050662	
ENSG00000233454	7	63057453	63060084	q11.21
ENSG00000233918	7	62275361	62275678	q11.21
ENSG00000285080	15	43106225	43185779	q15.2
ENSG00000077420	10	26438203	26567803	p12.1
ENSG00000114737	3	50606490	50611831	p21.2
ENSG00000099834	11	616565	626078	p15.5
ENSG00000259269	15	39472703	39481206	q14
ENSG00000102699	13	24420926	24512810	q12.12
ENSG00000261267	16	48559661	48587403	q12.1
ENSG00000130038	12	3606633	3764819	p13.32
ENSG00000260033	16	48600176	48600644	q12.1
ENSG00000120049	10	101825974	101843920	q24.32
ENSG00000249639	5	135450613	135458697	q31.1
ENSG00000166396	18	63752935	63805376	q21.33
ENSG00000215909	1	13555001	13555694	p36.21
ENSG00000187942	1	21812265	21825221	p36.12
ENSG00000149503	11	62123973	62153163	q12.3
ENSG00000100218	22	23059415	23145021	q11.23
ENSG00000197580	11	112175467	112224699	q23.1
ENSG00000266693	18	14613137	14614184	p11.21
ENSG00000236847	2	97035461	97037549	q11.2
ENSG00000176571	8	86866442	87615219	q21.3
ENSG00000229468	3	20012452	20012606	p24.3
ENSG00000198326	20	2816302	2820284	p13
ENSG00000140396	8	70109762	70403805	q13.3
ENSG00000237904	9	65798726	65799124	q21.11
ENSG00000172172	8	120380761	120445402	q24.12
ENSG00000102245	X	136648193	136660390	q26.3
ENSG00000283626	7	57190461	57191138	p11.2
ENSG00000255213	11	62330946	62331813	q12.3
ENSG00000144566	3	19947079	19985175	p24.3
ENSG00000273574	CHR_HSCHR19_4_CTG3_1	54469723	54471641	
ENSG00000273196	2	85387074	85387146	p11.2
ENSG00000274497	CHR_HSCHR14_3_CTG1	105643841	105645561	
ENSG00000250895	5	119652523	119653000	q23.1
ENSG00000225674	13	24122065	24123814	q12.12
ENSG00000167131	17	44899142	44905390	q21.31
ENSG00000255547	11	100336856	100337625	q22.1
ENSG00000280267	1	13148905	13155961	p36.21
ENSG00000166889	11	59636716	59668980	q12.1
ENSG00000284987	X	153872221	153909223	q28
ENSG00000108557	17	17681473	17811453	p11.2
ENSG00000103769	15	65726054	65891991	q22.31
ENSG00000260316	16	898967	905224	p13.3
ENSG00000136478	17	64147227	64263301	q23.3
ENSG00000230746	7	145675882	145681369	q35
ENSG00000250422	5	45557919	45559986	p12
ENSG00000271138	22	25437306	25437823	q11.23
ENSG00000272798	22	25436312	25436915	q11.23
ENSG00000249534	4	38420662	38523180	p14
ENSG00000256757	11	113405321	113412117	q23.2
ENSG00000176956	8	143157914	143160711	q24.3
ENSG00000072858	3	113532296	113629578	q13.2
ENSG00000261667	8	143080457	143083001	q24.3
ENSG00000234078	CHR_HSCHR6_MHC_MANN_CTG1	30925624	30944801	
ENSG00000243328	8	143065915	143066587	q24.3
ENSG00000236861	7	93969442	94011113	q21.3
ENSG00000232912	1	8424645	8434838	p36.23
ENSG00000274212	6	16041381	16041614	p22.3
ENSG00000149295	11	113409615	113475691	q23.2
ENSG00000214035	7	145009961	145010993	q35
ENSG00000214309	7	100126694	100128498	q22.1
ENSG00000253374	8	81521618	81533275	q21.13
ENSG00000205186	8	81458341	81461579	q21.13
ENSG00000149656	20	64290385	64313132	q13.33
ENSG00000174945	7	2679522	2775500	p22.3
ENSG00000158050	2	96143166	96145440	q11.2
ENSG00000278996	21	8197620	8227646	p11.2
ENSG00000279967	21	8101251	8103706	p11.2
ENSG00000273963	16	5110793	5148685	p13.3
ENSG00000229143	2	147810346	147810777	q22.3
ENSG00000285567	16	5107672	5235822	p13.3
ENSG00000108883	17	44849943	44899662	q21.31
ENSG00000265041	17	27666749	27672803	q11.2
ENSG00000121871	3	165186720	165197109	q26.1
ENSG00000285771	6	7258910	7261993	p24.3
ENSG00000149187	11	47465933	47565569	p11.2
ENSG00000248197	4	181064089	181159149	q34.3
ENSG00000229246	13	81043670	81044442	q31.1
ENSG00000259132	14	22946270	22982258	q11.2
ENSG00000257285	14	22929609	22955562	q11.2
ENSG00000275799	21	44244545	44244993	q22.3
ENSG00000089820	X	153907367	153934999	q28
ENSG00000279397	18	79515798	79516057	q23
ENSG00000226408	CHR_HSCHR6_MHC_MCF_CTG1	31278735	31280532	
ENSG00000267513	18	60794613	60794916	q21.32
ENSG00000135052	9	86026146	86100173	q21.33
ENSG00000254466	11	59473315	59479361	q12.1
ENSG00000259538	15	84412773	84421837	q25.2
ENSG00000179833	2	64631621	64751005	p14
ENSG00000103363	16	2771414	2777297	p13.3
ENSG00000260832	16	82953230	82990298	q23.3
ENSG00000235487	CHR_HSCHR6_MHC_COX_CTG1	31107244	31132550	
ENSG00000247095	11	565660	568457	p15.5
ENSG00000137197	CHR_HSCHR6_MHC_COX_CTG1	31107584	31112941	
ENSG00000255386	11	59332757	59334086	q12.1
ENSG00000166762	15	43628503	43668118	q15.3
ENSG00000248188	4	15743196	15743582	p15.32
ENSG00000225151	15	84199311	84230136	q25.2
ENSG00000231869	CHR_HSCHR6_MHC_QBL_CTG1	31874140	31874433	
ENSG00000222030	2	59217708	59279400	p16.1
ENSG00000106178	7	75811665	75823356	q11.23
ENSG00000254162	8	80535006	80539135	q21.13
ENSG00000174483	11	66510606	66533627	q13.2
ENSG00000267686	18	60125033	60161195	q21.32
ENSG00000238125	22	20652730	20654750	q11.21
ENSG00000214318	18	63496989	63497400	q21.33
ENSG00000280621	CHR_HSCHR4_2_CTG12	186971648	187014215	
ENSG00000226641	X	41322601	41323111	p11.4
ENSG00000280745	CHR_HSCHR9_1_CTG2	69418516	69419862	
ENSG00000214401	17	46193576	46196723	q21.31
ENSG00000116285	1	8004404	8026308	p36.23
ENSG00000272418	15	78280950	78282190	q25.1
ENSG00000048649	11	77659996	77821017	q14.1
ENSG00000095932	19	3473986	3480542	p13.3
ENSG00000227376	11	77734475	77735026	q14.1
ENSG00000267150	18	14089935	14091019	p11.21
ENSG00000254721	11	70206291	70207390	q13.3
ENSG00000282365	CHR_HSCHR17_1_CTG1	182756	190502	
ENSG00000155961	X	155258241	155264589	q28
ENSG00000229241	3	3981981	3984295	p26.2
ENSG00000173762	17	82314868	82317602	q25.3
ENSG00000105185	19	32581068	32587452	q13.11
ENSG00000274653	16	30359825	30360336	p11.2
ENSG00000273329	7	129604548	129611630	q32.2
ENSG00000270469	18	14053951	14054761	p11.21
ENSG00000228304	14	19847367	19848263	q11.2
ENSG00000251254	4	147506091	147506765	q31.23
ENSG00000239974	CHR_HSCHR6_MHC_SSTO_CTG1	32172254	32175953	
ENSG00000260161	16	82120638	82121769	q23.3
ENSG00000214676	4	168755816	168756382	q32.3
ENSG00000239920	11	5254392	5678434	p15.4
ENSG00000258438	14	19733355	19734302	q11.2
ENSG00000258635	CHR_HSCHR6_MHC_MANN_CTG1	31746360	31757371	
ENSG00000235352	2	144754776	144755998	q22.3
ENSG00000279477	21	7003248	7007022	p11.2
ENSG00000243449	4	2041993	2043970	p16.3
ENSG00000243986	3	124862094	124863317	q21.2
ENSG00000263229	CHR_HSCHR17_4_CTG4	41117663	41118842	
ENSG00000122547	7	36153149	36301543	p14.2
ENSG00000274717	22	42791814	42794313	q13.2
ENSG00000263029	16	16260866	16261235	p13.11
ENSG00000173818	17	80415165	80438086	q25.3
ENSG00000262848	16	16290135	16292242	p13.11
ENSG00000263069	17	80351828	80415168	q25.3
ENSG00000128789	18	12658043	12725740	p11.21
ENSG00000100425	22	49773283	49827512	q13.33
ENSG00000088386	13	98683801	98752654	q32.3
ENSG00000243896	7	144257663	144264792	q35
ENSG00000279006	22	25048967	25051966	q11.23
ENSG00000279110	22	25052122	25065241	q11.23
ENSG00000236965	11	5800364	5801297	p15.4
ENSG00000262094	17	83220527	83227721	q25.3
ENSG00000223735	11	5314772	5315684	p15.4
ENSG00000273234	7	144142009	144142938	q35
ENSG00000257493	14	19664098	19683677	q11.2
ENSG00000221989	7	144109514	144110564	q35
ENSG00000188984	1	12716115	12728759	p36.21
ENSG00000282518	CHR_HSCHR17_1_CTG1	97494	118578	
ENSG00000176136	18	13824149	13827323	p11.21
ENSG00000124406	4	42408373	42657105	p13
ENSG00000101811	X	100820359	100840932	q22.1
ENSG00000273377	7	143980905	143981820	q35
ENSG00000282768	CHR_HSCHR17_10_CTG4	36336091	36336195	
ENSG00000204290	6	32393963	32407128	p21.32
ENSG00000211672	22	22871507	22872035	q11.22
ENSG00000238201	2	64338067	64341647	p14
ENSG00000228579	CHR_HSCHR6_MHC_COX_CTG1	33001420	33001829	
ENSG00000151615	4	146638893	146642474	q31.22
ENSG00000196656	4	113214046	113217170	q26
ENSG00000234841	4	112826307	112827607	q25
ENSG00000115239	2	53532672	53787610	p16.2
ENSG00000021355	6	2832332	2842006	p25.2
ENSG00000224143	CHR_HSCHR6_MHC_SSTO_CTG1	31872446	31882289	
ENSG00000104237	8	54509422	54871720	q11.23
ENSG00000176563	17	42798792	42811587	q21.2
ENSG00000250251	16	15125242	15154564	p13.11
ENSG00000237053	2	176804987	176806337	q31.1
ENSG00000115183	2	158968671	159232659	q24.2
ENSG00000223999	22	22692778	22693312	q11.22
ENSG00000129911	19	1852399	1863568	p13.3
ENSG00000251491	2	158862311	158863285	q24.1
ENSG00000007202	17	28614440	28645454	q11.2
ENSG00000115524	2	197389784	197435091	q33.1
ENSG00000070087	3	149964904	150050788	q25.1
ENSG00000270077	8	97144170	97144723	q22.1
ENSG00000226323	7	14814131	14816565	p21.2
ENSG00000135740	16	67237683	67272190	q22.1
ENSG00000276868	9	40883634	40883763	p11.2
ENSG00000221962	3	152339695	152340990	q25.2
ENSG00000161999	16	681671	684528	p13.3
ENSG00000165917	11	47437757	47449178	p11.2
ENSG00000277753	CHR_HSCHR3_5_CTG3	195719644	195739354	
ENSG00000148356	9	127451486	127503501	q33.3
ENSG00000091656	8	76681219	76867285	q21.13
ENSG00000254498	11	36696317	36697867	p12
ENSG00000229330	17	66676372	66677404	q24.2
ENSG00000261056	16	53298224	53299792	q12.2
ENSG00000137875	15	52109263	52112775	q21.2
ENSG00000279589	16	53310797	53311989	q12.2
ENSG00000231321	CHR_HSCHR6_MHC_MANN_CTG1	33347482	33354568	
ENSG00000131475	17	42773436	42779599	q21.2
ENSG00000167842	17	5486285	5490814	p13.2
ENSG00000077264	X	110944285	111227361	q23
ENSG00000237900	CHR_HSCHR6_MHC_COX_CTG1	31887151	31889536	
ENSG00000253717	8	110766863	110772759	q23.2
ENSG00000236315	CHR_HSCHR6_MHC_APD_CTG1	31655881	31659971	
ENSG00000283426	3	195701618	195711643	q29
ENSG00000285634	9	85370219	85443963	q21.33
ENSG00000215357	13	78849231	78851208	q31.1
ENSG00000176945	3	195720882	195741123	q29
ENSG00000083093	16	23603160	23641310	p12.2
ENSG00000257647	15	25027736	25032047	q11.2
ENSG00000237259	20	18313765	18315111	p11.23
ENSG00000259433	15	45330209	45332634	q21.1
ENSG00000231851	2	105097052	105102944	q12.1
ENSG00000279294	16	81618505	81620563	q23.3
ENSG00000071082	2	101001715	101024032	q11.2
ENSG00000280331	11	36510361	36510537	p12
ENSG00000279681	16	81617038	81617543	q23.3
ENSG00000159212	21	34669389	34718227	q22.12
ENSG00000128335	22	36226203	36239954	q12.3
ENSG00000270870	17	65654914	65655395	q24.1
ENSG00000153815	16	81445170	81711762	q23.2
ENSG00000168646	17	65528563	65561647	q24.1
ENSG00000255073	11	58579172	58624639	q12.1
ENSG00000025434	11	47248300	47269032	p11.2
ENSG00000225796	2	201213298	201214660	q33.1
ENSG00000003400	2	201182881	201229406	q33.1
ENSG00000137628	4	168216293	168318807	q32.3
ENSG00000175097	11	36575574	36598279	p12
ENSG00000128915	15	60419609	60479160	q22.2
ENSG00000227480	2	158166650	158236169	q24.1
ENSG00000267073	19	1748056	1748745	p13.3
ENSG00000272202	3	57078943	57080101	p14.3
ENSG00000186451	3	57060441	57075432	p14.3
ENSG00000205922	19	1752373	1780988	p13.3
ENSG00000115339	2	165747591	165794682	q24.3
ENSG00000166352	11	36594493	36659290	p12
ENSG00000233277	20	43894720	43895468	q13.12
ENSG00000239521	7	100200653	100272232	q22.1
ENSG00000136848	9	121567057	121785530	q33.2
ENSG00000249850	5	36885206	36886497	p13.2
ENSG00000115808	2	36843640	36966472	p22.2
ENSG00000164190	5	36876759	37066413	p13.2
ENSG00000159322	15	72751369	72785846	q24.1
ENSG00000134438	18	59267035	59274086	q21.32
ENSG00000234834	CHR_HSCHR6_MHC_QBL_CTG1	33041494	33057842	
ENSG00000164972	9	34379019	34397832	p13.3
ENSG00000230022	13	21530690	21531323	q12.11
ENSG00000270251	X	120986388	120986639	q24
ENSG00000165487	13	21492691	21604214	q12.11
ENSG00000233433	X	121024964	121026563	q24
ENSG00000182890	X	121047588	121050080	q24
ENSG00000259814	15	29609676	29611212	q13.1
ENSG00000225998	CHR_HSCHR6_MHC_MCF_CTG1	31873692	31883281	
ENSG00000259300	15	29612570	29614274	q13.1
ENSG00000237765	4	15681662	15705565	p15.32
ENSG00000256802	15	29674990	29680957	q13.1
ENSG00000170324	10	48153088	48274870	q11.22
ENSG00000260898	15	72782835	72798199	q24.1
ENSG00000148482	10	17951839	18043292	p12.33
ENSG00000260229	16	81476023	81476519	q23.2
ENSG00000230825	7	7255154	7277779	p21.3
ENSG00000279476	16	81517824	81520617	q23.2
ENSG00000223798	CHR_HSCHR6_MHC_APD_CTG1	29998237	29999232	
ENSG00000236598	CHR_HSCHR6_MHC_APD_CTG1	29993130	30054145	
ENSG00000279836	11	87121058	87121596	q14.2
ENSG00000279519	2	36839922	36842539	p22.2
ENSG00000229719	11	64889560	64893449	q13.1
ENSG00000270510	11	87323709	87324359	q14.2
ENSG00000114988	2	96705929	96740064	q11.2
ENSG00000255143	11	70129297	70149623	q13.3
ENSG00000171195	4	70430492	70482997	q13.3
ENSG00000131620	11	70078302	70189528	q13.3
ENSG00000166349	11	36510709	36593156	p12
ENSG00000234176	X	121203182	121205014	q24
ENSG00000086065	9	33264879	33282069	p13.3
ENSG00000226771	21	21223295	21226829	q21.1
ENSG00000213498	X	121863698	121864196	q25
ENSG00000261245	16	31361278	31361695	p11.2
ENSG00000057593	13	113105788	113120681	q34
ENSG00000260585	X	121871869	121876865	q25
ENSG00000154654	21	20998315	21543329	q21.1
ENSG00000140678	16	31355134	31382997	p11.2
ENSG00000237891	X	122010976	122011612	q25
ENSG00000280142	X	122242008	122242616	q25
ENSG00000232496	X	122538253	122539460	q25
ENSG00000224236	X	123116107	123117781	q25
ENSG00000100321	22	39349925	39385588	q13.1
ENSG00000248249	4	175962061	175962485	q34.2
ENSG00000150625	4	175632934	176002664	q34.2
ENSG00000230978	21	34723807	34737181	q22.12
ENSG00000275343	15	56908312	56908635	q21.3
ENSG00000225625	15	56846340	56846605	q21.3
ENSG00000203971	20	57957126	57959660	q13.32
ENSG00000170485	2	100820152	100996829	q11.2
ENSG00000231904	CHR_HSCHR6_MHC_APD_CTG1	29881898	29884620	
ENSG00000277480	CHR_HSCHR6_MHC_APD_CTG1	29827404	29828384	
ENSG00000276051	CHR_HSCHR6_MHC_APD_CTG1	29826986	29831158	
ENSG00000275066	17	37514797	37609496	q12
ENSG00000226083	10	18001786	18010562	p12.33
ENSG00000149930	16	29973641	29992261	p11.2
ENSG00000230801	20	31808503	31808749	q11.21
ENSG00000231588	10	50629532	50631075	q11.23
ENSG00000279863	10	50334538	50336123	q11.23
ENSG00000198964	10	50305586	50625163	q11.23
ENSG00000138688	4	122152333	122362758	q27
ENSG00000254043	8	74891151	74896302	q21.13
ENSG00000114744	3	149738470	149752499	q25.1
ENSG00000176410	7	73680969	73683453	q11.23
ENSG00000242086	3	195658062	195739964	q29
ENSG00000168872	16	70346829	70373383	q22.1
ENSG00000266648	17	58476138	58476950	q22
ENSG00000176160	17	58420167	58488384	q22
ENSG00000178538	8	60187347	60281412	q12.1
ENSG00000196208	2	11482341	11642788	p25.1
ENSG00000167654	19	3879864	3928079	p13.3
ENSG00000280216	22	39379610	39380015	q13.1
ENSG00000186652	11	57386794	57390657	q12.1
ENSG00000280420	5	134522613	134523096	q31.1
ENSG00000101470	20	45823214	45833745	q13.12
ENSG00000213500	6	36673817	36675270	p21.2
ENSG00000215070	X	99719364	99721158	q22.1
ENSG00000066923	7	100177563	100221488	q22.1
ENSG00000281450	6	36673621	36675126	p21.2
ENSG00000264148	17	31008154	31008319	q11.2
ENSG00000229946	X	99886740	99887691	q22.1
ENSG00000254238	8	75026428	75029460	q21.13
ENSG00000121005	8	74984515	75034558	q21.13
ENSG00000196152	9	127424374	127445372	q33.3
ENSG00000274854	CHR_HSCHR22_1_CTG3	22380766	22381346	
ENSG00000278293	CHR_HSCHR22_1_CTG3	22395019	22395490	
ENSG00000260004	16	65601101	65601698	q21
ENSG00000281361	CHR_HSCHR22_1_CTG3	22397030	22397522	
ENSG00000261818	16	65580668	65646947	q21
ENSG00000228380	2	208269343	208269957	q34
ENSG00000281536	CHR_HSCHR22_1_CTG3	22402588	22403079	
ENSG00000241985	3	149648997	149650184	q25.1
ENSG00000281976	CHR_HSCHR15_5_CTG8	82298559	82334628	
ENSG00000018408	3	149517235	149736714	q25.1
ENSG00000251603	4	151667224	151670502	q31.3
ENSG00000278594	14	19131842	19132890	q11.2
ENSG00000278978	4	151669786	151670503	q31.3
ENSG00000223699	CHR_HSCHR6_MHC_MANN_CTG1	33316561	33346378	
ENSG00000225210	14	19062316	19131167	q11.2
ENSG00000253100	8	25685798	25687524	p21.2
ENSG00000227366	CHR_HSCHR6_MHC_APD_CTG1	29926431	29926616	
ENSG00000235697	CHR_HSCHR6_MHC_APD_CTG1	29900659	29901025	
ENSG00000253342	8	25776679	25777456	p21.2
ENSG00000169627	16	30192934	30194306	p11.2
ENSG00000235443	CHR_HSCHR6_MHC_APD_CTG1	30051404	30057408	
ENSG00000285890	8	25820975	25833464	p21.2
ENSG00000134802	11	57406954	57427580	q12.1
ENSG00000281074	CHR_HSCHR22_1_CTG3	22407947	22408097	
ENSG00000254178	8	25834129	25840135	p21.2
ENSG00000281565	CHR_HSCHR22_1_CTG3	22413303	22413817	
ENSG00000277710	14	19130636	19155089	q11.2
ENSG00000124762	6	36676460	36687339	p21.2
ENSG00000274575	CHR_HSCHR22_1_CTG3	22418863	22419379	
ENSG00000225303	10	50472814	50474246	q11.23
ENSG00000277128	14	19124807	19175530	q11.2
ENSG00000226200	10	50624951	50641451	q11.23
ENSG00000229854	9	121574891	121576214	q33.2
ENSG00000230182	3	5068676	5069044	p26.1
ENSG00000261069	15	25087661	25088896	q11.2
ENSG00000281502	CHR_HSCHR22_1_CTG3	22429412	22430396	
ENSG00000213599	16	30193892	30204310	p11.2
ENSG00000229977	7	143532749	143533164	q35
ENSG00000261529	15	25345633	25347235	q11.2
ENSG00000213539	9	109532830	109534332	q31.3
ENSG00000280941	CHR_HSCHR22_1_CTG3	22434907	22435400	
ENSG00000224078	15	24978583	25419462	q11.2
ENSG00000281471	CHR_HSCHR22_1_CTG3	22436625	22437120	
ENSG00000253582	8	106520474	106657548	q23.1
ENSG00000160951	19	14472466	14475362	p13.12
ENSG00000224082	3	5080212	5084429	p26.1
ENSG00000234067	3	40586535	40587428	p22.1
ENSG00000226845	3	40596207	40597494	p22.1
ENSG00000164830	8	106359476	106752694	q23.1
ENSG00000226302	3	40603125	40605427	p22.1
ENSG00000229072	3	40699066	40699338	p22.1
ENSG00000214846	4	15730962	15731627	p15.32
ENSG00000273737	CHR_HSCHR22_1_CTG3	22441045	22441552	
ENSG00000234287	3	40761545	40761799	p22.1
ENSG00000231873	3	40766207	40862626	p22.1
ENSG00000280754	CHR_HSCHR22_1_CTG3	22455773	22457423	
ENSG00000285498	11	5224309	5225461	p15.4
ENSG00000260750	16	87492555	87515635	q24.2
