ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
hsa04672	Intestinal immune network for IgA production	9/11	20/2757	3.66388721602848e-19	1.3085311485816e-18	5.50960483613305e-20	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05152	Tuberculosis	11/11	68/2757	8.92451738419031e-19	2.78891168255947e-18	1.17427860318293e-19	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344/ENSG00000179583/ENSG00000019582	11	316
hsa05321	Inflammatory bowel disease (IBD)	9/11	27/2757	1.01768628999526e-17	2.82690636109794e-17	1.19027636256755e-18	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05416	Viral myocarditis	9/11	30/2757	3.10048280573615e-17	7.75120701434038e-17	3.26366611130122e-18	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05323	Rheumatoid arthritis	9/11	31/2757	4.3659808206699e-17	9.92268368334069e-17	4.17797207719608e-18	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05145	Toxoplasmosis	10/11	56/2757	5.60736232091317e-17	1.16820048352358e-16	4.91873887799401e-18	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344/ENSG00000179583	10	316
hsa05150	Staphylococcus aureus infection	9/11	34/2757	1.13366688457316e-16	2.18012862417916e-16	9.17948894391224e-18	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa04640	Hematopoietic cell lineage	9/11	37/2757	2.68350019340177e-16	4.7919646310746e-16	2.0176693183472e-17	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05140	Leishmaniasis	9/11	39/2757	4.56516145841326e-16	7.13306477877071e-16	3.00339569632451e-17	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05322	Systemic lupus erythematosus	9/11	39/2757	4.56516145841326e-16	7.13306477877071e-16	3.00339569632451e-17	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa04658	Th1 and Th2 cell differentiation	9/11	48/2757	3.59141183204418e-15	5.28148798830026e-15	2.22378441612643e-16	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05164	Influenza A	10/11	85/2757	4.87974947102348e-15	6.77742982086595e-15	2.85365466141724e-16	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344/ENSG00000179583	10	316
hsa04659	Th17 cell differentiation	9/11	52/2757	7.85759806668124e-15	1.03389448245806e-14	4.35323992613919e-16	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa04145	Phagosome	9/11	59/2757	2.67125098121837e-14	3.33906372652296e-14	1.4059215690623e-15	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa04514	Cell adhesion molecules (CAMs)	9/11	61/2757	3.68165979610403e-14	4.38292832869527e-14	1.84544350681906e-15	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05169	Epstein-Barr virus infection	9/11	111/2757	1.03731894335739e-11	1.17877152654249e-11	4.96324853281049e-13	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05166	Human T-cell leukemia virus 1 infection	9/11	120/2757	2.13352570347822e-11	2.31904967769372e-11	9.76441969555251e-13	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344	9	316
hsa05168	Herpes simplex virus 1 infection	10/11	204/2757	4.11417313507656e-11	4.28559701570475e-11	1.80446190134937e-12	ENSG00000196126/ENSG00000196735/ENSG00000198502/ENSG00000204252/ENSG00000204257/ENSG00000204287/ENSG00000223865/ENSG00000231389/ENSG00000179344/ENSG00000019582	10	316
